	Account Number (CDP)	City Name (CDP)	Country (CDP)	City Short Name (CDP)	C40 (CDP)	Reporting Year (CDP)	Measurement Year (CDP)	Boundary (CDP)	Primary Methodology (CDP)	Methodology Details (CDP)	Gases included (CDP)	Total City-wide Emissions (metric tonnes CO2e) (CDP)	Total Scope 1 Emissions (metric tonnes CO2e) (CDP)	Total Scope 2 Emissions (metric tonnes CO2e) (CDP)	Increase/Decrease from last year (CDP)	Reason for increase/decrease in emissions (CDP)	Current Population Year (CDP)	Current Population (CDP)	City GDP (CDP)	GDP Currency (CDP)	Year of GDP (CDP)	GDP Source (CDP)	Average annual temperature (in Celsius) (CDP)	Land area (in square km) (CDP)	Average altitude (m) (CDP)	City Location (CDP)	Country Location (CDP)	Measurement year only (CDP)	scope fraction (CDP)	CDP2016 data edited (CDP)	Emissions Quality Flag (CDP)
106	50673	Faro	Portugal	Faro		2016.0	2010-12-31 00:00:00	Administrative boundary of a local government	Other	Irradiare Science of evolution	CO2	265.85	128.0	138.0	Stayed the same	The data was collected in 2010	2014.0	61214.0	13231.0	EUR     Euro	2013.0	INE(2013) Estudo do poder de compra	17.8	202570.0	200.0	(37.019355, -7.93044)	(39.399872, -8.224454)	2010.0	1.0005642279480909		A
112	31115	City of Johannesburg	South Africa	Johannesburg	C40	2016.0	2014-12-31 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	The City of Johannesburg 2014 inventory is the first GPC compliant inventory compiled for the City. It builds on the pioneering work undertaken by Siemens who compiled the first inventory for the City for the 2007 calendar year. Siemens prepared the initial report under an arrangement with C40 in 2012, and analyses the high-level changes between the two inventory years.	CO2; CH4; N2O	24716713.0	9068358.0	15661031.0	Decreased	This decrease could be attributed to a number of reasons, for example there seems to be a correlation between it and the drop in electricity consumption. This drop in electricity consumption is mirrored in all the major municipalities in South Africa. There may well be data deficiency artefacts. The real reasons for this decrease and/or other trend that becomes apparent,will become clear as we become more thorough in quality data collection methods. Furthermore, to enhance our understand we will do bottom up data collection at a project level.	2015.0	4764381.0	337000000000.0	ZAR     South African Rand	2015.0	http://www.bsivjoburg.co.za/bsivjoburg/index.cfm/economic-overview/joburg-economic-overview/	20.0	1645.0	1645.0	(-26.2041028, 28.0473051)	(-30.559482, 22.937506)	2014.0	1.0005128513649852		A
82	36263	Comune di Ravenna	Italy	Ravenna		2016.0	2014-12-21 00:00:00	Administrative boundary of a local government	2006 IPCC Guidelines for National Greenhouse Gas Inventories	The Emission Inventory (MEI)  is updated within the Sustainable Energy Action Plan. It is based on the methodology and toolkit developed by ARPA ER (Environmental Protection Agency of Emilia-Romagna Region) within the instrument IPSI (Inventory of greenhouse gas emissions for the Covenant of Mayors - Italian version). The methodology was improved and adapted by a specific working group “Climate Plan”  at regional level including the main cities and Provinces. The background knowledge is based on the Regional Greenhouse Gas Emissions Inventory realized by the Region with the support of ARPA ER, following standard estimation methodologies, internationally recognized (IPCC, CORINAIR). The MEI includes: direct emissions of the Municipality considered as an organization with its own consumptions; indirect emissions, generated by activities within the Municipal area estimated by ARPA ER as a breakdown of the regional inventory. According to the European and Regional methodology, activities within ETS (Emissions Trade System) are not taken into account.	CO2	11419.0	11115.0	307.46	Decreased	According to the Convenant of Mayors a series of actions have been implemented and are still on going in order to reach the goal of a reduction of CO2 emissions by at least 20% by 2020.	2015.0	158911.0					14.1	683.0	4.0	(41.913028, 12.518037)	(41.87194, 12.56738)	2014.0	1.0003030037656537		A
113	49360	Pretoria - Tshwane	South Africa	Pretoria - Tshwane	C40	2016.0	2015-06-30 00:00:00	A metropolitan area	International Emissions Analysis Protocol (ICLEI)	The methodology as defined in the International Local Government GHG Emissions Analysis Protocol V1.0 and the Local Government Operations Protocol for the Quantification and Reporting of GHG Inventories V1.1 where used where applicable and viable.	CO2; CH4; N2O	15236693.0	4648959.0	10589996.0	Increased	The exclusion of the Eskom and Pre-paid energy usage in the baseline figures. The two subsequent years the afore-mentioned usage was included.	2016.0	3200000.0	2739000000.0	ZAR     South African Rand	2016.0	STATSSA	17.0	6298.0	1339.0	(-25.746111, 28.188056)	(-30.559482, 22.937506)	2015.0	1.0001484574113293		A
86	31111	Tokyo Metropolitan Government	Japan	Tokyo	C40	2016.0	2014-03-31 00:00:00	Administrative boundary of a local government	Other	The guideline set by the Ministry of environmnet , Japan	CO2; PFCs; CH4; SF6; N2O; NF3; HFCs	70125000.0	27611000.0	42515000.0	Stayed the same	No change compared with the previous fiscal year. GHG emissions decreased due to the progress of users' energy efficiency but, at the same time, increased due to a worsening electricity CO2 emission coefficient	2015.0	13513734.0	92900000000000.0	JPY     Japanese yen	2015.0		16.6	2188.0		(35.6896342, 139.6921007)	(36.204824, 138.252924)	2014.0	1.0000142602495543		A
110	50672	Santarém	Portugal	Santarém		2016.0	2006-12-31 00:00:00	Administrative boundary of a local government	2006 IPCC Guidelines for National Greenhouse Gas Inventories		CO2	331717.0	245483.0	86235.0			2011.0	61752.0					16.0	553.0	108.0	(39.236669, -8.685994)	(39.399872, -8.224454)	2006.0	1.0000030146178822		A
53	20113	City of Vancouver	Canada	Vancouver	C40	2016.0	2014-12-31 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	The City has compiled a GPC-compliant inventory for 2014 as a Compact of Mayors signatory.	CO2; CH4; N2O	2442602.0	2389748.0	52855.0	Decreased	Community LDV emissions have decreased with declining fuel sales within the city. Also, continued increase in landfill gas capture efficiency, coupled with a decrease in overall electricity grid GHG intensity, reduced overall GHG emissions.	2011.0	603500.0	83600000000.0	CAD     Canadian Dollar	2015.0	Conference Board of Canada (forecast); Vancouver Economic Commission	11.0	115.0	45.0	(49.261226, -123.1139268)	(56.130366, -106.346771)	2014.0	1.0000004093994848		A
81	54610	Estância Turística de Guaratinguetá	Brazil	Guaratinguetá		2016.0	2015-12-31 00:00:00	Administrative boundary of a local government	2006 IPCC Guidelines for National Greenhouse Gas Inventories		CO2; CH4; N2O	548195.98	497634.0	50562.0	This is our first year of calculation		2015.0		825170000.0	BRL     Brazilian Real	2012.0	Seade	24.0	751.0	540.0	(-22.808027, -45.19422)	(-14.235004, -51.92528)	2015.0	1.000000036483303		A
115	61753	Yilan County	Taiwan	Yilan 		2016.0	2013-12-31 00:00:00	Administrative boundary of a local government	2006 IPCC Guidelines for National Greenhouse Gas Inventories		CO2; PFCs; CH4; SF6; N2O; NF3; HFCs	8180556.68	6911264.55	1269292.14	Stayed the same		2014.0	458777.0					22.3	2143.0	20.0	(24.702107, 121.73775)	(23.69781, 120.960515)	2013.0	1.0000000012224106		A
169	31181	City of Philadelphia	USA	Philadelphia	C40	2016.0	2012-12-31 00:00:00	Administrative boundary of a local government	International Emissions Analysis Protocol (ICLEI)	In general the ICLEI protocol was followed, however in some cases data was not available in the same fashion or format as described in the protocol. Electricity, natural gas and steam usage was provided by the local utilities. Data related to onsite combustion of fuels was derived using the American Communities Surveys and allocated to Philadelphia based on population. Emissions from transportation was derived using the local regional planning commission's transportation model and EPA MOVES. EPA's non road emissions model was used for off road vehicles Industrial emissions were estimated by looking at EPAs GHG reporting project data and comparing it to previously known information from utilities. Waste data was modeled using MSW and private collection data along with local landfill and incinerator emissions based on total waste. This was counted as a scope 3 emissions because none of these facilities are within the City of Philadelphia	CO2; PFCs; CH4; SF6; N2O; HFCs	19212870.06	12397594.06	6815276.0	Decreased	See www.phila.gov/green for 2012 Citywide Inventory Report (published Spring 2015) which discusses in-depth trends for the City's carbon emissions.	2014.0	1560297.0	364000000000.0	USD     US Dollar	2012.0	Bureau of Economic Analysis	13.3	367.0	12.0	(39.952335, -75.163789)	(37.09024, -95.712891)	2012.0	1.0000000000000002		A
0	54650	Prefeitura de Palmas	Brazil	Palmas		2016.0	2013-12-31 00:00:00	A metropolitan area	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	O diagnóstico qualitativo das informações complementa a avaliação quantitativa.	CO2; CH4; N2O; HFCs	625391.59	589055.31	36336.28	This is our first year of calculation		2015.0	272726.0	899887.0	BRL     Brazilian Real	2016.0					(-10.249091, -48.324286)	(-14.235004, -51.92528)	2013.0	1.0000000000000002		A
34	36518	Comune di Udine	Italy	Udine		2016.0	2013-12-31 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		CO2	613588.0	438005.0	175583.0	Stayed the same	respect to the baseline of 2006 the GHG emissions decreased of 4% in 2013	2013.0	99528.0					13.0	56.0	113.0	(46.0667, 13.2333)	(41.87194, 12.56738)	2013.0	1.0		A
142	55799	City of Arlington, VA	USA	Arlington, VA		2016.0	2015-12-31 00:00:00	Administrative boundary of a local government	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	Transportation, fuel oil use, and solid waste emissions data are the most recent available, from a 2012 inventory. Electricity and natural gas consumption in the community reflect actual 2015 data based on utility reporting.	CO2; CH4; N2O	2480700.0	1257464.0	1223236.0	Decreased	Total emissions have decreased since the 2014 accounting. Electricity emissions increased slightly over this time, while natural gas use fell.  We are exploring whether this shift is due to the weather, or perhaps also a fuel shift  from gas to electric heat pumps in large residential buildings (as with retrofits from central systems to individually-metered units).	2015.0	216700.0	18871919000.0	USD     US Dollar	2014.0	US Dept of Commerce Bureau of Economic Analysis	14.5	67.0	83.0	(37.226486, -76.002594)	(37.09024, -95.712891)	2015.0	1.0		A
137	35860	City of Dallas	USA	Dallas		2016.0	2010-12-31 00:00:00	Administrative boundary of a local government	Other	Methodology included a combination of Environmental Protection Agency (EPA) reported emission factors and EPA recommended emission modeling tools.	CO2; CH4; N2O	17229388.0	119881.0	17109507.0	Decreased	Increased use of renewable sources of electricity and on-site energy production.	2013.0	1257676.0	98746000000.0	USD     US Dollar	2013.0	City of Dallas Economic Development	19.4	999.0	148.0	(32.7801399, -96.8004511)	(37.09024, -95.712891)	2010.0	1.0		A
136	54113	City of Flagstaff	USA	Flagstaff		2016.0	2014-12-31 00:00:00	Administrative boundary of a local government	Other	Formulas taken from The Climate Registry: Pacificorp Data ('07 Generation)	CO2	1211617.47	621293.07	590324.4	Stayed the same	City is growing at very slow rate, so emissions have not changed considerably over past three years of measuring.	2013.0	68667.0	4801000000.0	USD     US Dollar	2010.0	U.S. Department of Commerce	6.5	165.0	2134.0	(35.1992, -111.6311)	(37.09024, -95.712891)	2014.0	1.0		A
134	3422	Greater London Authority	United Kingdom	London 	C40	2016.0	2013-12-31 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	London's inventory is in line with the GPC, but in 2013 does not fully break down emissions according to GPC requirements. Stationary - Published central government datasets used for energy consumption and CO2 emissions from homes (residential buildings) and workplaces (commercial, industrial and government buildings and facilities). Mobile - The London Atmospheric Emissions Inventory (in-house model) is used to calculate distances travelled from transport of people and goods by  road, railways, water-borne navigation, aviation, and off-road surface transport. National emissions factors are applied.	CO2; CH4; N2O	40190000.0	20620000.0	19570000.0	Increased	London's absolute CO2 emissions decreased slightly in 2013 on 2012 levels. As London reports its CO2 emissions as non weather-corrected, the decrease in 2013 may be partially due to a milder winter in 2013 compared to 2012, and therefore a higher number of heating degree days in 2012 compared to 2013. The use of coal in electricity generation also decreased at the national level. London's emissions fell by 11% on 1990 levels, and, significantly, despite an unprecedented increase in London's population, London's per capita emissions remain the UK's lowest at 4.8 tonnes.	2015.0	8600000.0	491550000000.0	USD     US Dollar	2014.0	An indicative value for London's GDP has been estimated from 2014 per capita data ($57,157) published by Brookings (http://www.brookings.edu/research/reports2/2015/01/22-global-metro-monitor)	11.0	1572.0	35.0	(51.504858, -0.078689)	(55.378051, -3.435973)	2013.0	1.0		A
128	43910	City of Columbus	USA	Columbus		2016.0	2015-12-31 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	Basic Reporting.	CO2; CH4; N2O	10983600.0	5487400.0	5496200.0	Decreased	Greenhouse gas emissions increased 5% since our baseline emission inventory of 2013, but decreased since the 2014 inventory by 4%.	2014.0	835957.0	108089000000.0	USD     US Dollar	2014.0	https://development.ohio.gov/files/research/E1001.pdf	11.6	563.0	275.0	(39.9611755, -82.9987942)	(37.09024, -95.712891)	2015.0	1.0		A
125	31446	Taipei City Government	Taiwan	Taipei City		2016.0	2014-12-31 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	Taipei city using GPC methodology to make City GHG inventory since 2014.	CO2; CH4; N2O	14957404.0	6493593.0	8463811.0	Increased	The greenhouse gas emissions of Taipei City in 2014 were 14,546,000 metric tons. The greenhouse gas emissions of the City present a rising tendency in 1998-2008. The increasing tendency slowed down and began to decline since the 2008. Due to the operation commencement of Mass Rapid Transit (MRT) Xinyi Line and Songshan Line and because the global average temperature in 2014 was 0.69℃ higher than that of previous years, the electricity consumption increased slightly by 0.52% compared to that in 2013. Thus the overall greenhouse gas emissions in 2014 increased compared to that in 2013	2015.0	2704810.0					23.0	272.0	60.0	(25.037525, 121.563782)	(23.69781, 120.960515)	2014.0	1.0		A
4	58627	City of Alton, IL	USA	Alton, IL		2016.0	2013-12-31 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		CO2; CH4; N2O	401079.0	138542.0	262537.0	This is our first year of calculation		2015.0	26581.0		USD     US Dollar	2015.0		13.7	43.0	132.0	(38.890604, -90.184276)	(37.09024, -95.712891)	2013.0	1.0		A
123	56276	New Taipei City Government	Taiwan	New Taipei 		2016.0	2014-12-31 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	GHG Protocol is working to give cities the standards and tools they need to measure their emissions, build more effective emissions reduction strategies, set measurable and more ambitious emission reduction goals, and to track their progress more accurately and comprehensively.	CO2; PFCs; CH4; SF6; N2O; HFCs	17233924.0	6149934.0	11083990.0	Increased	Population growing and new regulation on emissions reporting for high carbon-density industries.	2014.0	3966818.0	530043000000.0	USD     US Dollar	2014.0	Gross Domestic Product by Expenditures, National Statistics, R.O.C (Taiwan) (2016)	21.0	2053.0	10.0	(25.0111, 121.4458)	(23.69781, 120.960515)	2014.0	1.0		A
122	31112	Kaohsiung City Government	Taiwan	Kaohsiung		2016.0	2014-12-31 00:00:00	Administrative boundary of a local government	Other	GHG Inventory Accounting Guideline for Local City (EPA): Our country in order to assist local cities to handle emissions baseline, and make sure it follows the standard of MRV, so referring to related international GHG inventory guidelines for local cities, including IEAP published in 2009, to develop our city GHG inventory guideline.	CO2; PFCs; CH4; SF6; N2O; HFCs	58755764.13	43502687.67	15253076.46	Stayed the same	The city administrative area emissions is gentlely decreasing, and total emissions reduction range is 0.11%.	2015.0	2778729.0	524493000000.0	USD     US Dollar	2015.0	http://0rz.tw/mT92O	25.1	2947.0	50.0	(22.629705, 120.343804)	(23.69781, 120.960515)	2014.0	1.0		A
6	35858	City of Cape Town	South Africa	Cape Town	C40	2016.0	2012-12-31 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	During 2014 the City updated its energy profile and released a State of Energy Report in 2015 (based on 2012 data year). All data provided in this CDP submission is based on this report. The process includes: A baseline data collection was collected from the following 5 sectors. Residential Sector: disaggregated according to electrified and non-electrified by income category.  Commercial Sector: including retail and office buildings, tourism activities, education facilities, hospitals, and other non-industrial activities. Industrial Sector: disaggregated  into textiles, food and beverages, non-food manufacturing sub-sectors and other industrial activities. Local Government: all municipal operations, namely council buildings, street and traffic lights, water and wastewater treatment works and municipal vehicle fleet. Transport Sector: disaggregated into freight, private vehicle and public transport (bus,minibus taxi and train). The City's GHG account/inventory for its most recent State of Energy Report (Report released in 2015 based on 2012 data year) is based on the Global Protocol for Community-Scale Greenhouse Gas Emissions Reporting Draft v2 (GPC). Emissions factors draw on those of the IPCC (web based and regularly updated) for South Africa, as well as Eskom for local electricity emissions factors. In the Cape Town GPC summary table provided, Scope 1 includes all emissions that physically take place within the Cape Town area. This includes liquid fuels consumed and coal. Even if that liquid fuel is moved out of the area, it is still accounted for as per point of sale. This scope includes the emissions from Ankerlig and Acacia power stations (Energy supplied to the grid - territorial); but these are removed in the final balance for Cape Town as per protocol (this is accounted for within national electricity production accounts of Eskom). Scope 2 includes emissions from electricity produced elsewhere in the country, but consumed in Cape Town. This column accounts for the majority of these emissions, but a small portion are recorded in Scope 3, reflecting that component of the emissions factor that relates to Transmission and distribution (i.e. from power station to municipal boundary; and amounting to 0.04 of the 1.03 emissions factor). Also included within the category energy industries is the municipal distribution losses.	CO2; CH4; N2O	22643846.0	9783734.0	12860112.0	Decreased	The City of Cape Town does not update its emissions inventory annually, but rather in a process linked to the update of its entire energy profile, which takes place every 4-5 years. In comparison to its last full inventory data (2007), Cape Town's emissions have decreased due to an increase in electricity efficiency between the reporting years  (2007 and 2012).	2014.0	3918830.0	2467976.0	USD     US Dollar	2014.0	Economic Performance Indicators for Cape Town	16.6	2461.0		(-33.9253, 18.4239)	(-30.559482, 22.937506)	2012.0	1.0		A
114	44182	Incheon Metropolitan City	South Korea	Incheon 		2016.0	2015-12-31 00:00:00	Administrative boundary of a local government	Other	Calculation Korea Environment Corporation municipal greenhouse gas emissions guidelines ver.4.0 (2015. January)	CO2; PFCs; CH4; SF6; N2O; NF3; HFCs	69794140.0	57719912.0	12074228.0	Increased	GHG emissions saw a 2.2% increase due to a comprehensive increase in Scope 1 energy usage related to increase in population, households, GRDP, and motor vehicles caused by the development of new cities such as Songdo, Cheongna and Yeongjong.	2015.0	2983484.0	68373000000000.0	KRW     South Korean Won	2014.0	KOSIS	12.7	1381.0	26.0	(37.456256, 126.705206)	(35.907757, 127.766922)	2015.0	1.0		A
9	35863	City of Durban	South Africa	Durban	C40	2016.0	2014-12-31 00:00:00	Other: geopolitical boundary - physical areas over which local government has jurisdictional control	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		CO2; CH4; N2O	22587081.0	11681810.0	10905271.0	Increased	Due to better data collection and addressing data gaps.	2015.0	3555868.0	2308000000.0	ZAR     South African Rand	2015.0		24.0	2292.0	426.0	(-29.8586804, 31.0218404)	(-30.559482, 22.937506)	2014.0	1.0		A
37	31176	Prefeitura do Rio de Janeiro	Brazil	Rio de Janeiro	C40	2016.0	2012-12-31 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	Rio de Janeiro was one of the pilot cities to use the GPC first version. We updated the last inventory (2005) and calculated the new one (2012). We used IPCC 2006 with some adaptations to the local context, following the GPC requirements and procedures.	CO2; CH4; N2O	20268045.0	16171534.0	4096511.0	Increased	The numbers presented here are from the same inventory reported to CDP last year. However, since it was submitted to external verification and the numbers were reviewed according to the recommendations of the verifier there was just a slight increase due to this review. In comparison to the last Inventory made for the city, which has 2005 as the base year, there was a significant increase in emissions (around 75%) mainly due to the start of operations in 2010 of a new steel mill plant inside the city border, TKCSA.	2015.0	6476631.0	282538827000.0	BRL     Brazilian Real	2013.0	IBGE	23.7	1224.6	5.0	(-22.9054389, -43.5614471)	(-14.235004, -51.92528)	2012.0	1.0		A
