	city name	City Name (CDP)	full city name (carbonn)	full city name (PKU)	full city name (GEA)	full city name (UITP)	full city name (WB)	Boundary (CDP)	city_type (carbonn)	definition  (WB)	study_year (WB)	Reporting Year (CDP)	Scope-1 GHG emissions	Scope-1 source dataset	Scope-1 GHG emissions units	Year of Emission	Emissions Protocol	Gases included (CDP)	Methodology Details (CDP)	Increase/Decrease from last year (CDP)	Reason for increase/decrease in emissions (CDP)	Scope 2 [metric ton CO2e] (CDP)	Total Emissions [metric ton CO2e] (CDP)	CDP2016 data edited (CDP)	Emissions Quality Flag (CDP)	S1 lower bound [tCO2] (CDP)	S1 upper bound [tCO2] (CDP)	S1 mean [tCO2] (CDP)	TOT lower bound [tCO2] (CDP)	TOT upper bound [tCO2] (CDP)	TOT mean [tCO2] (CDP)	scope fraction (CDP)	CO2 Emissions Per Capita (Ton) (PKU)	City Location (CDP)	lat	lon	coord source	country	region	Current Population (CDP)	Current Population Year (CDP)	pop (carbonn)	pop_yr (carbonn)	Urban Population (PKU)	population (GEA)	population (UITP)	population (WB)	population_year (WB)	population (others)	population (others) source year	population (others) source	pop_1950 (WB)	pop_1990 (WB)	pop_2010 (WB)	growth_rate_1950-2010 (WB)	growth_rate_1990-2010 (WB)	Ancillary from GEA+	Land area (in square km) (CDP)	area_size (GEA)	area_size (WB)	Built-up Area (km2) (PKU)	area [km2] (others)	area [km2] (others) source year	area [km2] (others) source	population_density (GEA)	population_density (UITP)	pop_density (WB)	pop/sqrt(area_size) (GEA)	pop/sqrt(area) (WB)	Average altitude (m)	Average annual temperature (in Celsius) (CDP)	weather_station_id (GEA+)	CDD_23C (GEA+)	HDD_15.5C (GEA+)	HDD_15.5C (clim)	CDD_23C (clim)	City GDP (CDP)	GDP Currency (CDP)	Year of GDP (CDP)	GDP Source (CDP)	GDP (carbonn)	nGDP (carbonn)	GDP unit (carbonn)	GDP year (carbonn)	GDP (10000 RMB) (PKU)	Income Per Capita (RMB) (PKU)	GDP-PPP [$BN] (others)	GDP-PPP/cap [$USD] (others)	GDP-PPP [$BN] (others) source	GDP-PPP year (others)	nGDP [$BN] (others)	nGDP/cap [$USD] (others)	nGDP [$BN] (others) source	nGDP [$BN] (others) source year	GDP-PPP/cap (GEA)	GDP-PPP/cap (UITP)	GDP-PPP/cap (WB)	total_final_consumption_per_capita (GEA)	energy_per_cap_CO2 (WB)	diesel_price (GEA+)	gasoline_price (GEA+)	center_of_commerce_index (GEA+)	household_size (GEA+)	year_household_size (GEA+)	household_source (GEA+)	comment_household_size (GEA+)	urbanization_ratio (GEA+)	water_bounded (GEA+)	other_bounded (GEA+)	mean travel time [min] (others)	mean travel time ref year (others)	mean travel time ref (others)	diesel_price (2014) (others)	gasoline_price (2014) (others)	household_size (updated) (others)	year_household_size (updated) (others)	household_source (updated) (others)	comment_household_size (updated) (others)	Congestion Rank (INRIX)	Peak hours spent in congestion (INRIX)	INRIX Congestion Index (INRIX)	Average Congestion Rate (INRIX)	Congestion Rank (TomTom)	Congestion Level (TomTom)	Congestion Change (TomTom)	Morning Peak (TomTom)	Evening Peak (TomTom)	economy (IESE)	environment (IESE)	governance (IESE)	human capital (IESE)	international impact (IESE)	mobility and transportation (IESE)	public management (IESE)	social cohesion (IESE)	technology (IESE)	urban planning (IESE)	CIMI (IESE)	CIMI Ranking (IESE)	CIMI Performance (IESE)	Urban Area Name (UEX)	Low BUA - 1990 (UEX)	Low BUA – 2000 (UEX)	Low BUA – 2014 (UEX)	High BUA - 1990 (UEX)	High BUA – 2000 (UEX)	High BUA – 2014 (UEX)	Low BUA % - 1990 (UEX)	Low BUA % – 2000 (UEX)	Low BUA % – 2014 (UEX)	High BUA % - 1990 (UEX)	High BUA % – 2000 (UEX)	High BUA % – 2014 (UEX)	Low BUA pop density - 1990 (UEX)	High BUA pop density – 1990 (UEX)	Low BUA pop density – 2000 (UEX)	High BUA pop density - 2000 (UEX)	Low BUA pop density – 2014 (UEX)	High BUA pop density - 2014 (UEX)	Exports (m3)	Production (m3)	Export/Production	CH4_waste/person	CH4_(waste+natgas)/person	corrected CH4_(waste+natgas)/person	data from CIA World Fact Book for 2014
55	Cape Town	City of Cape Town			Cape Town	Cape Town	Cape Town 	Administrative boundary of a local government		City 	2006.0	2016.0	9783734.0	CDP	tCO2-eq	2012.0	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	CO2; CH4; N2O	During 2014 the City updated its energy profile and released a State of Energy Report in 2015 (based on 2012 data year). All data provided in this CDP submission is based on this report. The process includes: A baseline data collection was collected from the following 5 sectors. Residential Sector: disaggregated according to electrified and non-electrified by income category.  Commercial Sector: including retail and office buildings, tourism activities, education facilities, hospitals, and other non-industrial activities. Industrial Sector: disaggregated  into textiles, food and beverages, non-food manufacturing sub-sectors and other industrial activities. Local Government: all municipal operations, namely council buildings, street and traffic lights, water and wastewater treatment works and municipal vehicle fleet. Transport Sector: disaggregated into freight, private vehicle and public transport (bus,minibus taxi and train). The City's GHG account/inventory for its most recent State of Energy Report (Report released in 2015 based on 2012 data year) is based on the Global Protocol for Community-Scale Greenhouse Gas Emissions Reporting Draft v2 (GPC). Emissions factors draw on those of the IPCC (web based and regularly updated) for South Africa, as well as Eskom for local electricity emissions factors. In the Cape Town GPC summary table provided, Scope 1 includes all emissions that physically take place within the Cape Town area. This includes liquid fuels consumed and coal. Even if that liquid fuel is moved out of the area, it is still accounted for as per point of sale. This scope includes the emissions from Ankerlig and Acacia power stations (Energy supplied to the grid - territorial); but these are removed in the final balance for Cape Town as per protocol (this is accounted for within national electricity production accounts of Eskom). Scope 2 includes emissions from electricity produced elsewhere in the country, but consumed in Cape Town. This column accounts for the majority of these emissions, but a small portion are recorded in Scope 3, reflecting that component of the emissions factor that relates to Transmission and distribution (i.e. from power station to municipal boundary; and amounting to 0.04 of the 1.03 emissions factor). Also included within the category energy industries is the municipal distribution losses.	Decreased	The City of Cape Town does not update its emissions inventory annually, but rather in a process linked to the update of its entire energy profile, which takes place every 4-5 years. In comparison to its last full inventory data (2007), Cape Town's emissions have decreased due to an increase in electricity efficiency between the reporting years  (2007 and 2012).	12860112.0	22643846.0		A	8251794.881634708	8441695.503622176	8346745.192628441	21111906.88163471	21301807.503622174	21206857.192628443	1.0		(-33.9253, 18.4239)	-33.925	18.423889000000003	https://en.wikipedia.org/wiki/Cape_Town	South Africa	Africa	3918830.0	2014.0				3069404.0	2900000.0	3497097.0	2006.0	3840000.0	2016.0	http://www.c40.org/cities/cape-town	618000.0	2155000.0	3492000.0	1.0292829118143991	1.0244277824918029	1.0	2461.0	2454.72	2454.72		2461.0	2016.0	http://www.c40.org/cities/cape-town	1250.4090079520272	7106.0	1424.6419143527573	61951.678029283314	70584.07019120733		16.6	FACT	131.0	461.0	520	27	2467976.0	USD     US Dollar	2014.0	Economic Performance Indicators for Cape Town							58.863	14086.0	[1]	2014.0	38.0	10882.016036655212	[19]		12320.458980159154	4242.73	12320.458980159154	44.00000000000001	6.0	0.95	0.87		3.4	2008.0	https://www.statssa.gov.za/Publications/P0318/P0318April2012.pdf	From tables on page five, total population / total households	59.256	1.0		45.31	2014-2017	https://www.numbeo.com/traffic/in/Cape-Town [BASED ON 74 CONTRIBUTORS]	1.17	1.19	3.4	2008	https://www.statssa.gov.za/Publications/P0318/P0318April2012.pdf	From tables on page five, total population / total households	33.0	49.0	8.0	12.7%	48	0.35	0.05	75%	67%	163.0	145.0	71.0	144.0	94.0	135.0	40.0	159.0	90.0	139.0	50.38	133.0	M	City of Cape Town Urban Area	221.5	227.9375	238.5625	782.375	838.625	899.875	0.22064500062258702	0.213712276589511	0.209552566566017	0.779354999377412	0.7862877234104889	0.7904474334339828	254.63960029388699	1362.07379928889	180.176031704651	3159.6655541434197	80.43965466969841	4251.523793225089	0.0	1.0	0.0	0.0122306776	0.0139613383	0.0139613383	
56	Caracas	Alcaldía Metropolitana de Caracas						A metropolitan area				2016.0	14364103.0	CDP	tCO2-eq	2015.0	2006 IPCC Guidelines for National Greenhouse Gas Inventories	CO2; CH4; N2O	We used only one methodology: the 2006 IPCC Guidelines for National Greenhouse Gas Inventory. Data was collected or estimated from official sources.	Increased	Emissions have increased slightly mainly due to the increase electricity consumption and waste generation due to population growth. Emissions from the transport sector practically have not increased, reflecting the limited increase of the automotive park in 2015.	3410672.0	17774776.0		A	9921330.84007642	13479068.804715404	11700199.822395913	13332003.84007642	16889741.804715402	15110872.822395913	0.9999999437405006		(10.4696404, -66.8037185)	10.481	-66.903611	https://en.wikipedia.org/wiki/Caracas	Venezuela	Latin America & Caribbean	3518590.0	2015.0								5290000.0	2016.0	http://www.c40.org/cities/caracas, correponds to Metropolitan Region of Caracas (https://en.wikipedia.org/wiki/Metropolitan_Region_of_Caracas)							776.0				4715.1		https://en.wikipedia.org/wiki/Metropolitan_Region_of_Caracas						950.0	25.0				0	1785	54000000000.0		2015.0	Estimated from Venezuelan Central Bank figures							51.803999999999995	15890.0	[1]	2014.0	69.0	14194.610162518	[19]																	49.5	2013-2016	time index (defined as 'average one way time needed to transport, in minutes'); https://www.numbeo.com/traffic/in/Caracas [BASED ON 16 CONTRIBUTORS]	0.008	0.015					13.0	63.0	11.8	21.1%						180.0	136.0	174.0	119.0	164.0	112.0	30.0	173.0	178.0	114.0	38.03	173.0	B	Alcaldía Metropolitana de Caracas Urban Area	170.375	184.75	193.625	250.625	261.6875	270.125	0.404691211401425	0.413831723365533	0.41752021563342295	0.595308788598575	0.586168276634467	0.582479784366577	214.441905209124	1213.35510557888	830.8850610748219	5169.02468729942	1910.1928204612198	23135.403122491898	0.0	1.0	0.0	0.0089832473	0.045094891500000005	0.045094891500000005	
57	Cardiff	City of Cardiff			Cardiff and Vale of Glamorgan			Administrative boundary of a local government				2016.0		CDP	tCO2	2013.0	Other	CO2	Department of Energy and Climate Change (DECC) local authority CO2 emissions data	Decreased	Main reduction in industry / commercial emissions but also some decrease in domestic emissions		2128000.0		D									(51.481581, -3.17909)	51.483	-3.183333	https://en.wikipedia.org/wiki/Cardiff	United Kingdom	Europe	354300.0	2014.0				440700.0				361468.0	2016.0	https://statswales.gov.wales/Catalogue/Population-and-Migration/Population/Density/populationdensity-by-localauthority-year						1.0	140.0	475.3			140.9	2016.0	https://statswales.gov.wales/Catalogue/Population-and-Migration/Population/Density/populationdensity-by-localauthority-year	927.2038712392173			20214.32032137423		65.0	9.7	EGFF	0.0	1948.0	1957	0											36.009	29674.0	[1] The number is for Cardiff-Newport	2014.0	20.72175	31470.451104182397	[24]	2013.0	35777.175098907035			100.90338747791408		1.65	1.44						79.007						1.99	1.92	2.32	2012	https://statswales.gov.wales/Catalogue/Housing/Households/Estimates/averagehouseholdsize-by-localauthority-year		313.0	23.0	4.3	9.4%	- 	0.27	0.01	51%	53%														City of Cardiff Urban Area	38.9375	41.4375	42.5625	95.5625	100.375	103.5625	0.289498141263941	0.292199206698986	0.291274593669803	0.7105018587360601	0.707800793301014	0.708725406330197	617.101450064266	10795.306071340201	426.08334313537	3476.98163789058	407.45794434727304	3972.84629532164	10550000000.0	40990000000.0	0.26	0.0181362582	0.026046306800000002	0.0240104197	
58	Cascais	Cascais						Administrative boundary of a local government				2016.0	565382.0	CDP	tCO2	2010.0	2006 IPCC Guidelines for National Greenhouse Gas Inventories	CO2	this was made with calculous platforms from international organizations such as UN (IPCC, and ICLEI) as well as EU comission	Decreased	We have verified a decrease in fuel consumption between the mentioned time period.	266221.0	831603.0	CDP2016 TOT recalculated by summing both CDP2016 scopes.	A							1.0		(38.6970565, -9.4222945)	38.7	-9.416667	https://en.wikipedia.org/wiki/Cascais	Portugal	Europe	208122.0	2014.0								206479.0	2011.0	https://en.wikipedia.org/wiki/Cascais							97.0				97.4		https://en.wikipedia.org/wiki/Cascais							17.0				464	73			2014.0											2008.0																				30.0861860671899	2011	Statistics Portugal, Population and housing census – 2001; https://www.ine.pt/xportal/xmain?xpid=INE&xpgid=ine_indicadores&indOcorrCod=0000685&selTab=tab0&xlang=en	1.64	1.89																											see: Lisbon Urban Area																			0.0	1.0	0.0	0.0311275785	0.036136885099999995	0.036136885099999995	
59	Changchun			Changchun	Changchun								5029058.46744	PKU	tCO2	2010.0	Other																1.18104		43.886944444399994	125.324722222	wikipedia	China	East Asia					4258161.0	7392600.0				4193073.0		wikipedia, urban values						1.0		20532.0		461.1	4738.0		(urban), from wikipedia	360.05260081823496			51591.906892543564				ZYCC	158.0	4305.0	4243	92									23639084.0	38863.14	0.00118104		[1]	2014.0	35.0	8955.9877175	[19]		6827.100791475687			68.7047344365443		1.01	0.99		3.29	2003.0	http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf	"For ""Jilin"""	42.522	0.0					1.09	1.17									45	0.36	0.03	64%	72%														Changchun Urban Area	272.3125	297.5	300.375	399.25	488.0	673.9375	0.405490926012099	0.37873965626989203	0.308294310090448	0.594509073987901	0.621260343730108	0.6917056899095521	510.456995030605	7653.07651361255	338.886802810046	6779.08492498197	231.63238066788998	5403.28182894916							
60	Changsha, Hunan			Changsha	Changsha, Hunan								3955711.94	PKU	tCO2	2010.0	Other																0.83		28.196111111100002	112.97222222200001	wikipedia	China	East Asia					4765918.0	6310000.0				5288800.0		wikipedia, urban values						1.0		11819.0		433.3	1917.0		(urban), from wikipedia	533.886115576614			58041.54881882834				ZGHA	698.0	1100.0	1082	545									26277475.0	40156.9	0.0008300000000000001		[1]	2014.0	40.3	13025.210084	[3], [19]		8263.771141294194			59.61272993008974		1.01	0.99		3.44	2003.0	http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf	"For ""Hunan"""	42.522	0.0	Mountains, River				1.09	1.17									11	0.45	0.08	70%	82%														Changsha Urban Area	355.9375	430.5	520.4375	307.0625	390.0625	563.75	0.536858974358974	0.524640109680859	0.48002536461636	0.463141025641026	0.475359890319141	0.51997463538364	1294.58280661202	10434.6188654991	2485.96390405368	11252.8506041571	1557.9076820107998	9601.80255776213							
61	Changzhou			Changzhou									4131838.87751	PKU	tCO2	2010.0	Other																1.4242956244		31.7833333333	119.96666666700001	wikipedia	China	East Asia					2900970.0					3290918.0		wikipedia, urban values										329.5	1872.1		(urban), from wikipedia											1336	444									23162600.0	47798.85	0.0014242956244000001		[1]	2014.0	34.0	10331.2063203	[19]																				1.09	1.17																											see: Shanghai Urban Area																									
62	Chengdou			Chengdou									9975976.2	PKU	tCO2	2010.0	Other																1.08		30.6586111111	104.06472222200001	wikipedia	China	East Asia					9237015.0					10152632.0		wikipedia, urban values										783.0	3679.9		(urban), from wikipedia											1143	249									39324694.0	40023.38	0.00108		[1]	2014.0	57.8	7528.98267552	[3], [19]																				1.09	1.17																											Chengdou Urban Area	656.125	657.3125	691.3125	891.875	1018.5	1142.5	0.42385335917312705	0.39223510983478205	0.37698101632527903	0.576146640826873	0.6077648901652181	0.6230189836747211	996.567382140012	7909.344499095079	1266.3994610900802	7362.38898682395	1209.24160807295	9135.58297078782							
63	Chicago	City of Chicago				Chicago		Administrative boundary of a local government				2017.0	16951471.0	CDP	tCO2-eq	2015.0	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	CO2; CH4; N2O		Decreased	Chicago conducted a preliminary comparison using the existing 2010 and 2015 data to evaluate how community emissions have changed over the last five years. Results of this preliminary analysis of 2010 and 2015 GHG emissions reveals Chicago continued to reduce total GHG emissions through 2015 in the stationary and waste sectors resulting in a greater than 7 percent reduction in GHG emissions over the last five years. During that time, Chicago’s population grew by approximately 1 percent while the region’s GRP grew by more than 12 percent. Growth coupled with reduction in total emissions resulted in a greater than 8 percent decrease in per capita emissions in the City. Between 2010 and 2015, the majority of MT CO2e reductions occurred in the stationary energy sector, followed by waste. When considering percent reductions, the waste sector experienced the greatest reduction (30 percent) which included a 35 percent emissions reduction in the solid waste disposal sub-sector. This reduction in the solid waste sector is likely driven by a decrease in the total amount of solid waste sent to landfills and an improvement in the solid waste treatment technologies at those landfills. The City expanded its residential curbside recycling pilot program to now serve over 400,000, or approximately 33 percent, of additional City houeholds.Because of the program’s expansion the City experienced a significant increase in the number of tons collected for recycling, from 58,000 in 2010 to 97,000 in 2015. The stationary energy sector overall saw a 10 percent drop in emissions, including 11, 12 and 8 percent emissions reductions in the residential, commercial and institutional buildings and facilities, and manufacturing industries and construction sub-sectors, respectively. Stationary energy sector GHG emissions reductions are likely driven by a general trend in the building industry to improve energy efficiency of buildings as well as a regional shift in energy generation towards renewable energy sources. The City has also implemented the Energy Benchmarking Ordinance, Retrofit Chicago, and the Chicago Solar Express to encourage increasing energy efficiency and renewable energy generation and consumption within the city.	12967223.0	29918694.0	Replaced by CDP2017 data. Reason: Both scopes missing (Case 4b) in CDP2016. Soln: Updated with CDP2017 values that contain at least one scope	B	14234702.571707785	15603245.97169577	14918974.271701775	27201925.57170778	28570468.97169577	27886197.27170177	1.0		(41.8781136, -87.6297982)	41.837	-87.684722	https://en.wikipedia.org/wiki/Chicago	USA	North America	2720546.0	2015.0					7523328.0			2704958.0	2016.0	https://www.census.gov/quickfacts/fact/table/chicagocityillinois/PST045216						1.0	606.0				589.5594237	2010.0	https://www.census.gov/quickfacts/fact/table/chicagocityillinois/PST045216		1680.9999999999998				181.0	9.4	KMDW			1889	34	563188000000.0		2014.0	Brookings Institution							563.188	58861.0	[1]	2014.0	496.4	52351.82450959713	[3], [19]			32109.75				0.78	0.56	65.24	2.68	2010	http://factfinder2.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=DEC_10_DP_DPDP1&prodType=table	metro area	80.73100000000001	1.0		30.95	2013	TORONTO AS A GLOBAL CITY:Scorecard on Prosperity – 2015, pg. 25, report by Toronto Board of Trade (downloaded fie: Toronto_scorecard_2015.pdf)	0.97	0.86	2.57	2011-2015	https://www.census.gov/quickfacts/fact/table/chicagocityillinois/PST045216		19.0	57.0	10.1	10.2%	108	0.26	0.0	36%	57%	8.0	118.0	7.0	8.0	44.0	16.0	11.0	121.0	10.0	35.0	82.55	12.0	RA	Chicago Urban Area	2086.875	2083.3125	2004.25	4445.8125	5046.0	5679.4375	0.319451221262306	0.29221786813244605	0.260844809214326	0.680548778737694	0.707782131867554	0.739155190785674	394.91569236532206	809.464535811081	144.863365439934	1643.3233131211402	94.1923180912974	1554.94651440727	42870000000.0	766200000000.0	0.06	0.017698981699999998	0.036729479100000004	0.0356646952	
64	Chongqing			Chongqing	Chongqing								9485242.8	PKU	tCO2	2010.0	Other																0.88		29.5583333333	106.566666667	wikipedia	China	East Asia					10778685.0	6362501.0				8165500.0		wikipedia, urban values						1.0				452.3	472.8		(urban), from wikipedia	3145.0							ZUCK	543.0	885.0	1016	400									58506100.0	37288.31	0.00088		[1]	2014.0	88.6	5645.82935067	[3], [19]		5500.9814536767835			144.3551610600925		1.01	0.99	33.13	3.35	2003.0	http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf		42.522	0.0	River				1.09	1.17									4	0.52	0.14	90%	94%	143.0	176.0	109.0	162.0	81.0	119.0	174.0	143.0	56.0	93.0	44.33	157.0	B	Chongqing Urban Area	374.5625	415.9375	412.1875	421.6875	474.125	730.9375	0.47040816326530605	0.46731268871568	0.36057955166757794	0.5295918367346939	0.53268731128432	0.639420448332422	834.318634606627	6044.5585117008995	1407.1849647018698	12715.327441444098	640.508430258192	7714.278715460991							
65	Cleveland	City of Cleveland						Administrative boundary of a local government				2016.0	7750563.0	CDP	tCO2-eq	2010.0	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	CO2; CH4; N2O	This inventory was assembled through the collection and analysis of data with City of Cleveland staff as well as other city stakeholders such as utilities, regional coordinating agencies, local organizations and large emitters. Associated GHG emissions for all activities were calculated using an approach consistent with the International Council for Local Environmental Initiatives (ICLEI) - U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI) as the main guiding document, with methodologies from The Climate Registry (TCR), the World Resources Institute (WRI), the Intergovernmental Panel on Climate Change (IPCC), and the U.S. Environmental Protection Agency (EPA) also referenced. Tools - Inventory Management System: Most of the calculations used to develop this inventory were carried out in an Information Management System (IMS), a Microsoft Excel-based spreadsheet that collects into one tool the original data, methodology applied, emission factors selected and a summary of GHG emission results. The IMS also provides charting, forecasting and benchmarking capabilities	This is our first year of calculation	2010 Baseline Inventory that’s being reported is our 1st comprehensive GHG inventory. The GHG inventory will likely be updated in 2016, using 2015 data.	4139032.0	11889595.0		A	7354298.991277936	7553912.8001480065	7454105.895712973	11493330.991277935	11692944.800148008	11593137.895712972	1.0		(41.49932, -81.6943605)	41.482	-81.669722	https://en.wikipedia.org/wiki/Cleveland	USA	North America	396815.0	2010.0								385809.0	2016.0	https://www.census.gov/quickfacts/fact/table/clevelandcityohio/PST045216							201.0				201.242223	2010.0	https://www.census.gov/quickfacts/fact/table/clevelandcityohio/PST045216						199.0	10.4				1483	114											115.14200000000001	55876.0	[1]	2014.0	98.0	47183.43765045738	[19]																	24.2	(2011-2015) 		0.97	0.86	2.26	2011-2015	https://www.census.gov/quickfacts/fact/table/clevelandcityohio/PST045216		405.0	19.0	3.1	4.5%	183	0.12	0.01	18%	27%														City of Cleveland Urban Area	378.3125	379.375	371.75	938.25	1028.875	1082.1875	0.287348682648944	0.26939463873602	0.25568499333705896	0.7126513173510559	0.73060536126398	0.7443150066629409	223.790611450256	1704.7357667703	261.770108264628	1501.31489267996	199.60121396095298	1288.02209840362	42870000000.0	766200000000.0	0.06	0.017698981699999998	0.036729479100000004	0.0356646952	
66	Cochin		Cochin Municipal Corporation						Municipality				269372.0	carbonn	tCO2-eq	2008.0	Community																		9.931233	76.26730400000002	carbonn	India	South Asia			601574.0	2011.0						601574.0	2011.0	Wikipedia											94.88	2011.0	Wikipedia											0	502					2310171.0	61713.0773732933	INR	2006.0							7.0	3455083.909180652	[3], [19]																				0.91	1.1																											Cochin Urban Area	409.75	450.4375	539.3125	340.3125	365.375	511.1875	0.5462878093492209	0.5521336091319999	0.51338648262732	0.453712190650779	0.447866390868	0.48661351737268	1108.8502822294802	11580.691050211599	1045.64052125049	6666.713335703471	685.864124389925	5274.82457151365							
67	Coimbatore		Coimbatore City Municipal Corporation						Municipality				5316666.0	carbonn	tCO2-eq	2015.0	Community - GPC																		11.0	76.9558	carbonn	India	South Asia			1850000.0	2016.0						1601438.0	2011.0	Wikipedia											246.75	2011.0	Wikipedia											0	588					2984399650.0	3472009067.7435107	USD	2015.0							5.0	2415458.9371980675	[3], [19]																				0.91	1.1																											Coimbatore Urban Area	235.8125	278.9375	339.5	159.6875	187.0625	267.375	0.596238938053097	0.598578326180258	0.5594232749742529	0.4037610619469029	0.401421673819742	0.4405767250257471	1159.9383469361699	12886.946721075801	1349.4856541622	9989.494297525931	1212.54695766435	9084.68966199706							
68	Columbus	City of Columbus						Administrative boundary of a local government				2016.0	5487400.0	CDP	tCO2-eq	2015.0	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	CO2; CH4; N2O	Basic Reporting.	Decreased	Greenhouse gas emissions increased 5% since our baseline emission inventory of 2013, but decreased since the 2014 inventory by 4%.	5496200.0	10983600.0		A	4652603.755051421	5073123.545940367	4862863.650495893	10148803.75505142	10569323.545940368	10359063.650495894	1.0		(39.9611755, -82.9987942)	39.983	-82.983333	https://en.wikipedia.org/wiki/Columbus,_Ohio	USA	North America	835957.0	2014.0								860090.0	2016.0	https://www.census.gov/quickfacts/fact/table/columbuscityohio/PST045216							563.0				562.4681283	2010.0	https://www.census.gov/quickfacts/fact/table/columbuscityohio/PST045216						275.0	11.6				627	48	108089000000.0	USD     US Dollar	2014.0	https://development.ohio.gov/files/research/E1001.pdf							108.904	54780.0	[1]	2014.0	89.0	48264.642082429506	[19]																	21.4	(2011-2015) 		0.97	0.86	2.4	2011-2015	https://www.census.gov/quickfacts/fact/table/columbuscityohio/PST045216		318.0	22.0	3.6	5.7%	164	0.16	0.01	26%	45%														City of Columbus Urban Area	437.4375	451.9375	436.625	618.4375	808.1875	939.9375	0.414289096720729	0.35864497569685494	0.317185017026107	0.585710903279271	0.6413550243031451	0.682814982973893	371.632853431314	1651.4636026224898	308.772918878989	1287.9826604974	231.119487393281	1401.45653585681	42870000000.0	766200000000.0	0.06	0.017698981699999998	0.036729479100000004	0.0356646952	
69	Copenhagen	City of Copenhagen			Copenhagen	Copenhagen		Administrative boundary of a local government				2016.0		CDP	tCO2-eq	2015.0	Other	CO2; CH4; N2O	The methodology used provides an inventory of greenhouse gases at the municipality level, divided into sectors. The sectors are similar to those used for the official Danish emission inventory (IPCC sectors), and include; collective power and heating, Indivitual heating, Mobile sources, Tranportation and machinery, Industrial processes, Solvents, Agriculture, Land use, and waste depositing and wastewater. Simplified generalizations of the equations used for emission calculations are used. These are based on the assumption that emissions of a given activity can be estimated using data descriptive for the size of the activity multiplied by an emission factor pr unit or activity. That is, the inventory is primarily based on scope-2 data on heat and power consumption and scope-1 data on road traffic. The method includes CO2-, CH4- and N2O-emission in the inventory.  As for the national inventories the calculation is built into several levels (Tiers) with increased requirements for municipalities regarding data quality. Each municipality may use different tiers for different sectors depending on the data available. Tier 1 is mainly based on the Danish national greenhouse gas inventory data using appropriate distribution keys, in most cases the municipality's share of total population, for a given activity into municipality level. Tier 2 is more detailed and includes emission factors used in the Danish national greenhouse gas inventories, while municipalities use their own activity data. At Tier 3, which is the most detailed level; municipalities use municipality specific emission factors and activity data.	Decreased	The CO2-emissions from the City of Copenhagen in 2015 was 11% lower than the emissions in 2014. The reduction in the emissions is primarily caused by more wind power i the power production in Copenhagen and in Denmark in general. For Denmark as a whole, one kilowatt-hour of electricity emitted an average of almost 29% less CO2 in 2015 than in 2014. This drop is partly attributable to higher wind production as well as more use of biomass in combined heat and power production.		1450358.0		D				1242354.8189930865	1273425.2028319193	1257890.0109125029			(55.6760968, 12.5683371)	55.676	12.568333	https://en.wikipedia.org/wiki/Copenhagen	Denmark	Europe	591481.0	2015.0				504000.0	1739458.0			603000.0	2016.0	http://www.c40.org/cities/copenhagen						1.0	86.0	88.25			86.0	2016.0	http://www.c40.org/cities/copenhagen	5711.0481586402275	2849.0		53650.42657756482		9.0	8.0	EKCH	7.0	2483.0	2481	0	308279000000.0	DKK     Danish Krone	2014.0	Danmarks Statistik, Statistics Denmark							127.001	42220.0	[1] The number is for Copenhagen-Malmö	2014.0	98.83225	49018.63290576713	[24]	2013.0	37793.45233047332	37058.29		80.63		1.54	1.54	57.99	1.95	2012.0	http://www.statbank.dk/statbank5a/default.asp?w=1280	Calculation: pop/household (551900/283010)	85.85600000000001	1.0		31.02	2014-2017	https://www.numbeo.com/traffic/in/Copenhagen [BASED ON 49 CONTRIBUTORS]	1.8	2.01	2.01213023042376	2017	http://www.statistikbanken.dk/statbank5a/SelectVarVal/saveselections.asp		268.0	24.0	4.0	7.1%	124	0.23	0.02	47%	40%	31.0	41.0	17.0	31.0	27.0	17.0	162.0	6.0	53.0	29.0	77.56	27.0	RA	Copenhagen Urban Area	134.5	142.875	147.75	375.875	389.1875	406.0	0.263531716874847	0.268530482791025	0.266817155756208	0.7364682831251529	0.731469517208974	0.733182844243792	1402.42018397529	14756.5125588997	244.09031629407502	3127.55490988576	236.041592613729	3500.9633161516604	4517000000.0	6412000000.0	0.7	0.0106834006	0.01703133	0.0125594652	
