	city name	Average altitude (m)	Average annual temperature (in Celsius) (CDP)	Boundary (CDP)	Built-up Area (km2) (PKU)	CDP2016 data edited (CDP)	CH4_(waste+natgas)/person	CH4_waste/person	CO2 Emissions Per Capita (Ton) (PKU)	City GDP (CDP)	City Location (CDP)	City Name (CDP)	Current Population (CDP)	Current Population Year (CDP)	Emissions Quality Flag (CDP)	Emissions Protocol	Export/Production	Exports (m3)	GDP (10000 RMB) (PKU)	GDP Currency (CDP)	GDP Source (CDP)	Gases included (CDP)	Income Per Capita (RMB) (PKU)	Increase/Decrease from last year (CDP)	Land area (in square km) (CDP)	Methodology Details (CDP)	Production (m3)	Reason for increase/decrease in emissions (CDP)	Reporting Year (CDP)	S1 lower bound [tCO2] (CDP)	S1 mean [tCO2] (CDP)	S1 upper bound [tCO2] (CDP)	Scope-1 GHG emissions	Scope-1 source dataset	Scope-1 GHG emissions units	Year of Emission	Scope 2 [metric ton CO2e] (CDP)	TOT lower bound [tCO2] (CDP)	TOT mean [tCO2] (CDP)	TOT upper bound [tCO2] (CDP)	Total Emissions [metric ton CO2e] (CDP)	Urban Population (PKU)	Year of GDP (CDP)	city_type (carbonn)	corrected CH4_(waste+natgas)/person	country	data from CIA World Fact Book for 2014	full city name (PKU)	full city name (carbonn)	GDP unit (carbonn)	GDP (carbonn)	GDP year (carbonn)	lat (carbonn)	lon (carbonn)	nGDP (carbonn)	pop (carbonn)	pop_yr (carbonn)	region	scope fraction (CDP)
63	Amman	900.0	17.0	A metropolitan area			0.0104522032	0.005724877099999999		10697000000.0	(31.945367, 35.928372)	Greater Amman Municipality	3604459.0	2015.0	A	2006 IPCC Guidelines for National Greenhouse Gas Inventories	0.0	0.0		JOD     Jordanian Dinar	Ministry of Energy and Mineral Resources	CO2; CH4; N2O		This is our first year of calculation	800.0		1.0		2016.0	2267715.938966074	2506268.2824651925	2744820.625964311	3322603.0	CDP	tCO2-eq	2014.0	3892804.0	6160519.938966074	6399072.2824651925	6637624.625964311	7215407.0		2014.0		0.0104522032	Jordan												North Africa, Middle East, West Asia	1.0
160	Amsterdam	2.0	11.8	Administrative boundary of a local government		S1 derived from TOT - S2 in CDP2016 dataset	0.0287396254	0.0136552404		50047000000.0	(52.370216, 4.895168)	City of Amsterdam	822272.0	2015.0	C	Other	0.78	63420000000.0		EUR     Euro	Rapport Economische Verkenningen MRA 2015, blz 97. (Amsterdam Metropolitan Area)	CO2		Decreased	219.0	Local standard based on electricity, gas, district heat en local transportation.	81520000000.0	The decrease is very slight (<0,1%). An exact reason cannot be given. It probably has to do with the fact that outdoor temperatures were lower in 2015 than in 2014 and an increase of economical activity. Despite these curcumstances it is a decrease of emissions. This can be an indication that climate policies have a positieve affect, though not very strong.	2016.0				2161000.0	CDP	tCO2	2016.0	2310000.0				4471000.0		2013.0		0.0170044476	Netherlands	2013.0											Europe	1.0
273	Anshan				200.8				1.3447458212799999							Other			12561795.0				36028.53										3293364.54581	PKU	tCO2	2010.0						2449061.0				China		Anshan										East Asia	
316	Anyang				161.1				0.46220723766800004							Other			3637605.0				34583.21										917789.196792	PKU	tCO2	2010.0						1985666.0				China		Anyang										East Asia	
22	Arlington, VA	83.0	14.5	Administrative boundary of a local government			0.0367294791	0.017698981699999998		18871919000.0	(37.226486, -76.002594)	City of Arlington, VA	216700.0	2015.0	A	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	0.06	42870000000.0		USD     US Dollar	US Dept of Commerce Bureau of Economic Analysis	CO2; CH4; N2O		Decreased	67.0	Transportation, fuel oil use, and solid waste emissions data are the most recent available, from a 2012 inventory. Electricity and natural gas consumption in the community reflect actual 2015 data based on utility reporting.	766200000000.0	Total emissions have decreased since the 2014 accounting. Electricity emissions increased slightly over this time, while natural gas use fell.  We are exploring whether this shift is due to the weather, or perhaps also a fuel shift  from gas to electric heat pumps in large residential buildings (as with retrofits from central systems to individually-metered units).	2016.0	1041064.89540448	1095569.27702078	1150073.65863708	1257464.0	CDP	tCO2-eq	2015.0	1223236.0	2264300.89540448	2318805.27702078	2373309.65863708	2480700.0		2014.0		0.0356646952	USA												North America	1.0
170	Aspen and Pitkin County	2405.0	6.0	A metropolitan area			0.0367294791	0.017698981699999998		566889555.0	(39.195, -106.837)	City of Aspen and Pitkin County	8427.0	2010.0	D	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	0.06	42870000000.0		USD     US Dollar	City of Aspen - Finance Dept (Liz Woods)	CO2; CH4; N2O		Decreased	20.0		766200000000.0	Aggregate emissions: -7.4% between 2004 and 2014. Res. Energy: +5%; Comm. Energy: -26%; Vehicles: - 13%; Airport: +15%; Waste:=2%	2016.0					CDP	tCO2-eq	2014.0		385925.70117938885	388045.2601266918	390164.81907399476	394341.0		2013.0		0.0356646952	USA												North America	
96	Athens	208.0	17.5	Administrative boundary of a local government			0.0144621319	0.013363883		19951634580.0	(37.98381, 23.727539)	City of Athens	664046.0	2011.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.0	0.0		EUR     Euro	www.statistics.gr	CO2; CH4; N2O		This is our first year of calculation	39.0		1.0	It is the first an inventory has been developed using the GPC Standard. Previous inventory did not use this methodology so the data cannot be compared.	2016.0	991456.4164893128	1001666.4455360044	1011876.474582696	1260355.0	CDP	tCO2-eq	2014.0	3451221.0	4442677.4164893115	4452887.445536003	4463097.474582696	4711576.0		2013.0		0.0144621319	Greece												Europe	1.0
60	Atlanta	272.0	16.9	Administrative boundary of a local government			0.0367294791	0.017698981699999998		260000000000.0	(33.7489954, -84.3879824)	City of Atlanta	443775.0	2013.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.06	42870000000.0		USD     US Dollar	http://www.atlantaga.gov/modules/showdocument.aspx?documentid=12107	CO2; CH4; N2O		Increased	343.0	The Atlanta Mayor’s Office of Sustainability uses the Global Protocol for Community-Scale Greenhouse Gas Emission Inventories (GPC) as the framework for its annual citywide greenhouse gas (GHG) reports, which is consistent with international standards. The GPC level selected for the 2013 reports was BASIC. This level will serve as a baseline for more comprehensive reports in the future. This report included emissions from electricity and natural gas consumption, vehicles, city-owned landfills, municipal solid waste (MSW) generated inside the city but sent to landfills outside city limits, and emissions from wastewater treatment plants (WWTP), the Metropolitan Atlanta Rapid Transit Authority (MARTA), and the Hartsfield-Jackson Atlanta International Airport (excluding aviation fuel emissions). All these emitting sources are in compliance with the GPC protocol.	766200000000.0	Factors for the increase in emissions are: a growth in the construction market, the construction of a new international terminal at the airport, and cheap prices of oil	2016.0	3105056.19685336	3216674.479971836	3328292.76309031	3548215.0	CDP	tCO2-eq	2014.0	5476020.0	8581076.19685336	8692694.479971835	8804312.76309031	9024235.0		2013.0		0.0356646952	USA												North America	1.0
67	Auckland	79.0	15.3	Administrative boundary of a local government			0.0234648677	0.0132737261		81186000.0	(-36.815328, 174.741788)	Auckland Council	1569900.0	2015.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.0	0.0		NZD     New Zealand Dollar	Statistics New Zealand	CO2; CH4; N2O		Increased	4894.0	Version 1 (published in 2014)	1.0	There was a 0.9 per cent increase in emissions between 2009 and 2013. The emissions for 2009 were 10,857 ktCO2e (our last emissions inventory). The emissions for 2013 were 10,955 ktCO2e (our most recent emissions inventory). The main driver of the increase was the increased emissions from the industrial processes and product use sector. Over the same timeframe, the population increased by 5.0 per cent and the GDP increased by 8.4 per cent. Subsequently, the emissions intensity by population decreased from 7.6 to 7.3 tCO2e per capita. Similarly the emissions intensity by GDP decreased from 160 to 149 tCO2e per million $NZ (2009/2010 price). Overall, the emissions intensity has reduced and there is evidence that emissions are decoupling from population and economic growth.	2016.0	8102073.11753756	8326060.14230732	8550047.16707708	9133523.0	CDP	tCO2-eq	2013.0	1338632.0	9440705.11753756	9664692.14230732	9888679.16707708	10472155.0		2014.0		0.0234648677	New Zealand												Oceania	1.0
64	Austin	149.0	20.0	Combination of administrative divisions			0.0367294791	0.017698981699999998			(30.2672, -97.7431)	City of Austin	888204.0	2015.0	A	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	0.06	42870000000.0				CO2; CH4; N2O; PFCs		Decreased	704.0		766200000000.0	Renewable energy in our electricity generation, energy efficiency, and fuel efficiency of the city wide vehicle fleet	2016.0	5552029.3018082185	5775430.362117974	5998831.42242773	6439000.0	CDP	tCO2-eq	2013.0	7261000.0	12813029.301808218	13036430.362117972	13259831.422427727	13700000.0				0.0356646952	USA												North America	1.0
213	Balikpapan															Community - GPC																	481003.0	carbonn	tCO2-eq	2015.0								Municipality		Indonesia			City of Balikpapan	IDR	69874824.44	2015.0	-1.23793	116.852853	6066.0765323921	762492.0	2016.0	Southeast Asia	
173	Baltimore	240.0	14.7	Administrative boundary of a local government		Replaced by CDP2017 data. Reason: Both scopes missing (Case 4b) in CDP2016. Soln: Updated with CDP2017 values that contain at least one scope	0.0367294791	0.017698981699999998		43700000000000.0	(39.2903848, -76.6121893)	City of Baltimore	614664.0	2016.0	A	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	0.06	42870000000.0		USD     US Dollar	National Association of Counties/U.S. Bureau of Economic Analysis	CO2; CH4; N2O		Increased	210.0	medium/high. High confidence in stationary energy combustion and transportation emissions. Medium confidence in solid waste emissions (landfill waste emissions) due to proxy for landfill waste characterization, assumptions made for landfill gas capture system efficiency. High confidence about incineration activities in the City due to directly monitored emissions data received from EPA	766200000000.0	Natural gas consumption decreased in residential sector but increased in commercial and industrial sectors. Electricity consumption increased across the board. Even though electricity emissions factors decreased in 2014, the increase in electricity consumption offset improvements in emissions factors. On-road and rail activity increased. Solid waste generation decreased slightly due to increased diversion of waste from the landfill but waste water generation increased.	2017.0	3405233.4821084416	3559833.7646271377	3714434.0471458337	4019044.0	CDP	tCO2-eq	2014.0	3211447.0	6616686.482108442	6771286.764627137	6925887.047145832	7230497.0		2014.0		0.0356646952	USA												North America	1.0
214	Bandung															Community																	2660.98238	carbonn	tCO2-eq	2013.0								Municipality		Indonesia			City of Bandung	IDR	40890012000000.0	2013.0	-6.91746	107.619123	4586959387.01624	2483977.0	2014.0	Southeast Asia	
188	Bangalore															Community																	5568706.7	carbonn	tCO2-eq	2008.0								Municipality		India			Bengaluru Municipal Corporation	USD	13627993701.0	2011.0	12.97029	77.596152	16056968041.5791	9621551.0	2011.0	South Asia	
265	Baoding				133.1				0.678879734794							Other			5434022.0				30710.71										2946568.18924	PKU	tCO2	2010.0						4340339.0				China		Baoding										East Asia	
270	Baotou				349.5				1.596385							Other			20814400.0				41527.24										3363195.27344	PKU	tCO2	2010.0						2106757.0				China		Baotou										East Asia	
189	Barcelona															Community - GPC																	3595726.0	carbonn	tCO2-eq	2012.0								Municipality		Spain			Municipality of Barcelona	EUR	60540000000.0	2012.0	41.38506	2.173403	91314193646.6486	1611822.0	2013.0	Europe	
215	Barranquilla															Community - GPC																	3023515.0	carbonn	tCO2-eq	2013.0								Municipality		Colombia			Municipality of Barranquilla	COP	19035100000.0	2013.0	10.987778	-74.788889	11917850.6126723	1148506.0	2005.0	Latin America & Caribbean	
38	Barreiro	20.0	16.0	Administrative boundary of a local government			0.0361368851	0.0311275785			(38.660815, -9.079072)	Barreiro	78764.0	2011.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.0	0.0				CO2		Increased	33.0	The data of energy consumption were collected from the Directorate General for Energy and Geology (DGEG).	1.0	A residual increase of 2%.	2016.0				203441.0	CDP	tCO2	2014.0	87408.0				290849.0				0.0361368851	Portugal												Europe	1.0
165	Basel	260.0	12.0	Administrative boundary of a local government		Replaced by CDP2017 data. Reason: Both scopes missing (Case 4b) in CDP2016. Soln: Updated with CDP2017 values that contain at least one scope	0.007949217	0.0038276228		30864000000.0	(47.5619, 7.5928)	Basel-Stadt	198206.0	2016.0	B	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.0	0.0		CHF     Swiss Franc	Bundesamt für Statistik (BFS): Volkswirtschaftliche Gesamtrechnung	CO2; CH4; N2O		This is our first year of calculation	37.0		1.0		2017.0	739815.6898683441	751252.6356684167	762689.5814684895	783932.0	CDP	tCO2-eq	2016.0	321821.0	1061636.689868344	1073073.635668417	1084510.5814684895	1105753.0		2012.0		0.007949217	Switzerland												Europe	1.0
111	Batangas	10.0	25.0	A metropolitan area			0.0084021612	0.007693555699999998			(13.756465, 121.058308)	Batangas City	332458.0	2015.0	A	2006 IPCC Guidelines for National Greenhouse Gas Inventories	0.0	0.0		PHP     Philippine Peso		CO2; CH4; N2O			285.0		1.0		2016.0	266204.7601695712	269502.9021120372	272801.0440545032	344419.0	CDP	tCO2-eq	2010.0	107239.0	379073.76016957115	382371.9021120372	385670.0440545032	457288.0				0.0084021612	Philippines												Southeast Asia	0.9876882839698397
260	Beijing				1733.8				4.56651863677							Other			139044131.0				66458.74										75104879.0068	PKU	tCO2	2010.0						16446857.0				China		Bejing										East Asia	
101	Belo Horizonte	900.0	21.0	Administrative boundary of a local government			0.0204194776	0.0151203426		81426708.0	(-19.916681, -43.934493)	Municipality of Belo Horizonte	2502557.0	2015.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.69	11700000000.0		BRL     Brazilian Real	IBGE	CO2; CH4; N2O		Increased	331.0	"GHG emissions by fuel consumption -Different concentrations of biofuels (ethanol and biodiesel) were established by the national authority for the distribution of Automotive Gasoline and Diesel. These concentrations were considered in the calculations and applied to the total of each fuel checked for the municipality, according to regulatory developments in the industry. GHG emissions for electricity consumption - The indirect CO2 emissions per electricity consumption were calculated taking into account the average emission factor of the National Interconnected System in each year of the period considered. GHG emissions per treatment and release of liquid effluents - Belo Horizonte has 4 sewage treatment plants (STP) in operation, which are emitting methane and nitrous oxide.There are a fifth STP that employs physicolchemical processes that do not emit greenhouse gases. A fraction of sewage collected in Belo Horizonte is not forwarded to any treatment plant, being deposited directly into the water body; another fraction of wastewater, which is not collected, it is presumably treated in septic systems (septic tanks), followed by infiltration. GHG emissions by treating municipal solid waste - Landfill - The solids waste generated in Belo Horizonte are taken for disposal in landfill (CTR Macaúbas), where there is no biogas recovery system. It was assumed that 100% of the biogas generated in massive municipal solid waste is released into the atmosphere. A fraction of the waste collected in the city is still willing to massive treatment center CTR-BR-040 in Belo Horizonte, in a separate area where, from 2010, began a system of thermoelectric generation from biogas generated at the landfill. Thus, biogas derived from the ancient massive waste should not be considered in the GHG inventory from 2010. Is it considered only the fraction derived from the provisions in recent separate area and not covered by biogas recovery system.
It is worth mentioning that according to this model first-order decay,  For purposes of this inventory, we adopted a period of 10 (ten) years as horizon degradation of waste within the massif.
Composting - BH also conducts composting for organic waste. These activities take place in the CTRS Rod BR-040 and may incur nitrous oxide and methane."	17030000000.0	Emissions keeps the growth rate of approximately 5% per year, following the trend projected into the 'business as usual' despite of efforts aimed at its reduction made so far	2016.0	1629066.1664196018	1687173.3141854058	1745280.4619512104	2804787.0	CDP	tCO2-eq	2013.0	436925.0	2065992.1664196015	2124099.314185406	2182206.46195121	3241713.0		2013.0		0.0167788505	Brazil												Latin America & Caribbean	0.9999996915211188
175	Benicia	26.0	21.0	Administrative boundary of a local government			0.0367294791	0.017698981699999998		23000000.0	(38.049365, -122.1585777)	City of Benicia	27450.0	2014.0	D	International Emissions Analysis Protocol (ICLEI)	0.06	42870000000.0		USD     US Dollar	Solano EDC http://www.solanocounty.com/depts/bos/working_to_create_jobs/economic_studies.asp	CO2; CH4; N2O; HFCs; PFCs; SF6		Increased	13.0		766200000000.0	In 2010, community-wide emissions with large industrial emitters had increased from 2005 by 24% while community-wide emissions without large industrial emitters increased by 41%.  There was a 5.6% increase in emissions (2000-2005, with large emitters).   When the baseline inventory was completed, the team predicted that by 2010, emissions (w/ large industrial emitters) would increase 9% from 2005 to 4.6 million metric tons.  If large emitters were still included, then the increase between 2005 and 2010 was only a 24% increase, 15% more than what was originally predicted.  However, for 2010, it was decided to exclude large emitters.  This means that increases in all other sectors have a greater impact on total emissions, i.e. the increase in transportation emissions has a much greater impact on overall emissions levels.   The roughly 35% increase between 2005 and 2010 could be due to a number of things including changes in reporting protocols, e.g. permitting requirements changed or the non-recession years outweighed the recession years.  It could also be that Benicia was not as hard hit by the recession as other communities and therefore, emissions didn't decrease. Again, educated guesses have been made as to what caused the increase.    Please note that vehicle miles travelled (VMT) grew between 2000 and 2010 by 62%, while emissions increased 95%.  The % of total emissions from transportation is within the Bay Area average. The Metropolitan Transportation Commission (MTC) calculates VMT using a proprietary software model. MTC inputs traffic counts, vehicle speeds, vehicle make and model, and fuel data into its software. In 2010, per the change in the modeling software, Benicia is now responsible for 50% of the trips that start elsewhere but end in Benicia and trips that start in Benicia but end elsewhere. This is calculated based on the number of people that exit or enter the highway in Benicia. Pass through VMT is not attributed to Benicia. Then, emissions are calculated by inputting VMT into the CACP software, which generates a GHG equivalent (MTCO2e). The increase in off road emissions is due to construction permit projections for buildings, which may have never been built. However, estimating off road emissions using construction permit data is the recommended calculation method per ICLEI’s protocol and guidance.	2016.0					CDP	tCO2-eq	2010.0		661294.11526928	668198.33896733	675102.56266538	688706.0		2014.0		0.0356646952	USA												North America	
275	Benxi				64.6				0.6812902691030001							Other			6283596.0				32087.63										866087.529437	PKU	tCO2	2010.0						1271246.0				China		Benxi										East Asia	
216	Betim															Community - GPC																	1716901.0	carbonn	tCO2-eq	2013.0								Municipality		Brazil			Municipality of Betim	BRL	25314346.0	2014.0	-19.0	-44.0	12559713.9208131	422354.0	2016.0	Latin America & Caribbean	
217	Bhubaneswar															Community																	528002.28	carbonn	tCO2-eq	2005.0								Municipality		India			Bhubaneswar Municipal Corporation				20.27	85.84	1643773814.71304	837737.0	2011.0	South Asia	
167	Birmingham	140.0	9.2	A metropolitan area			0.0260463068	0.0181362582		84000000000.0	(52.480174, -1.902907)	Birmingham City Council	1101360.0	2014.0	D	Other	0.26	10550000000.0		GBP     Pound Sterling	"""Global city GDP 2014"". Brookings Institution. Retrieved 18 November 2014."	CO2		Decreased	267.8	Data supplied by Department of Energy & Climate Change annually with a two year lag.  Dataset is Local Authority Emissions within scope.	40990000000.0	Total CO2 emissions decreased between 2012 and 2013 by 3.2%. The reduction is consistent with the decrease in overall UK emissions from 2012 to 2013. The main drivers of the decrease in UK emissions in 2013 were a decrease in the use of coal and gas for electricity generation. This reflects the decrease in overall emissions for the UK during this period driven mainly by reductions in emissions from power stations, industrial combustion and passenger cars. The reduction from power stations is driven by change in the fuel mix used for electricity generation with a reduction in the amount of coal which is a carbon intensive fuel. The reduction in industrial combustion is largely driven by the closure or reduced activity of industrial plants, a large portion of which occurred during 2009 likely due to economic factors.	2016.0					CDP	tCO2	2013.0					5199.7		2014.0		0.0240104197	United Kingdom												Europe	
