	city name	City Name (CDP)	country	region (CDP)	Boundary (CDP)	Reporting Year (CDP)	Measurement year only (CDP)	Current Population (CDP)	Current Population Year (CDP)	scope fraction (CDP)	Total City-wide Emissions (metric ton CO2e) (CDP)	Total Scope 1 Emissions (metric ton CO2e) (CDP)	Total Scope 2 Emissions (metric ton CO2e) (CDP)	CDP2016 data edited (CDP)	Emissions Quality Flag (CDP)	Gases included (CDP)	TOT lower bound [tCO2] (CDP)	TOT upper bound [tCO2] (CDP)	TOT mean [tCO2] (CDP)	S1 lower bound [tCO2] (CDP)	S1 upper bound [tCO2] (CDP)	S1 mean [tCO2] (CDP)	Primary Methodology (CDP)	Methodology Details (CDP)	Increase/Decrease from last year (CDP)	Reason for increase/decrease in emissions (CDP)	Average annual temperature (in Celsius) (CDP)	Land area (in square km) (CDP)	Average altitude (m) (CDP)	CH4_waste/person	CH4_(waste+natgas)/person	corrected CH4_(waste+natgas)/person	Production (m3)	Exports (m3)	Export/Production	data from CIA World Fact Book for 2014	City Location (CDP)	City GDP (CDP)	GDP Currency (CDP)	Year of GDP (CDP)	GDP Source (CDP)
10	Faro	Faro	Portugal	Europe	Administrative boundary of a local government	2016.0	2010.0	61214.0	2014.0	1.0005642279480909	265.85	128.0	138.0		A	CO2							Other	Irradiare Science of evolution	Stayed the same	The data was collected in 2010	17.8	202570.0	200.0	0.0311275785	0.036136885099999995	0.036136885099999995	1	0	0.0		(37.019355, -7.93044)	13231.0	EUR     Euro	2013.0	INE(2013) Estudo do poder de compra
11	Johannesburg	City of Johannesburg	South Africa	Africa	Administrative boundary of a local government	2016.0	2014.0	4764381.0	2015.0	1.0005128513649852	24716713.0	9068358.0	15661031.0		A	CO2; CH4; N2O	22854233.221929416	23085107.976712164	22969670.59932079	7205878.221929415	7436752.976712164	7321315.59932079	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	The City of Johannesburg 2014 inventory is the first GPC compliant inventory compiled for the City. It builds on the pioneering work undertaken by Siemens who compiled the first inventory for the City for the 2007 calendar year. Siemens prepared the initial report under an arrangement with C40 in 2012, and analyses the high-level changes between the two inventory years.	Decreased	This decrease could be attributed to a number of reasons, for example there seems to be a correlation between it and the drop in electricity consumption. This drop in electricity consumption is mirrored in all the major municipalities in South Africa. There may well be data deficiency artefacts. The real reasons for this decrease and/or other trend that becomes apparent,will become clear as we become more thorough in quality data collection methods. Furthermore, to enhance our understand we will do bottom up data collection at a project level.	20.0	1645.0	1645.0	0.0122306776	0.0139613383	0.0139613383	1	0	0.0		(-26.2041028, 28.0473051)	337000000000.0	ZAR     South African Rand	2015.0	http://www.bsivjoburg.co.za/bsivjoburg/index.cfm/economic-overview/joburg-economic-overview/
12	Ravenna	Comune di Ravenna	Italy	Europe	Administrative boundary of a local government	2016.0	2014.0	158911.0	2015.0	1.0003030037656535	11419.0	11115.0	307.46		A	CO2							2006 IPCC Guidelines for National Greenhouse Gas Inventories	The Emission Inventory (MEI)  is updated within the Sustainable Energy Action Plan. It is based on the methodology and toolkit developed by ARPA ER (Environmental Protection Agency of Emilia-Romagna Region) within the instrument IPSI (Inventory of greenhouse gas emissions for the Covenant of Mayors - Italian version). The methodology was improved and adapted by a specific working group “Climate Plan”  at regional level including the main cities and Provinces. The background knowledge is based on the Regional Greenhouse Gas Emissions Inventory realized by the Region with the support of ARPA ER, following standard estimation methodologies, internationally recognized (IPCC, CORINAIR). The MEI includes: direct emissions of the Municipality considered as an organization with its own consumptions; indirect emissions, generated by activities within the Municipal area estimated by ARPA ER as a breakdown of the regional inventory. According to the European and Regional methodology, activities within ETS (Emissions Trade System) are not taken into account.	Decreased	According to the Convenant of Mayors a series of actions have been implemented and are still on going in order to reach the goal of a reduction of CO2 emissions by at least 20% by 2020.	14.1	683.0	4.0	0.011383130900000002	0.0151458624	0.0151130591	7800000000	68000000	0.01		(41.913028, 12.518037)				
13	Pretoria Tshwane	Pretoria - Tshwane	South Africa	Africa	A metropolitan area	2016.0	2015.0	3200000.0	2016.0	1.0001484574113293	15236693.0	4648959.0	10589996.0		A	CO2; CH4; N2O	13985757.08832	14140824.28704	14063290.68768	3398023.08832	3553090.28704	3475556.68768	International Emissions Analysis Protocol (ICLEI)	The methodology as defined in the International Local Government GHG Emissions Analysis Protocol V1.0 and the Local Government Operations Protocol for the Quantification and Reporting of GHG Inventories V1.1 where used where applicable and viable.	Increased	The exclusion of the Eskom and Pre-paid energy usage in the baseline figures. The two subsequent years the afore-mentioned usage was included.	17.0	6298.0	1339.0	0.0122306776	0.0139613383	0.0139613383	1	0	0.0		(-25.746111, 28.188056)	2739000000.0	ZAR     South African Rand	2016.0	STATSSA
14	Tokyo	Tokyo Metropolitan Government	Japan	East Asia	Administrative boundary of a local government	2016.0	2014.0	13513734.0	2015.0	1.0000142602495543	70125000.0	27611000.0	42515000.0		A	CO2; CH4; N2O; HFCs; PFCs; SF6; NF3	69032519.26726708	69172148.69136955	69102333.97931832	26518519.267267082	26658148.69136954	26588333.979318313	Other	The guideline set by the Ministry of environmnet , Japan	Stayed the same	No change compared with the previous fiscal year. GHG emissions decreased due to the progress of users' energy efficiency but, at the same time, increased due to a worsening electricity CO2 emission coefficient	16.6	2188.0		0.0025182088	0.0028872234	0.0028872234	1	0	0.0		(35.6896342, 139.6921007)	92900000000000.0	JPY     Japanese yen	2015.0	
15	Santarém	Santarém	Portugal	Europe	Administrative boundary of a local government	2016.0	2006.0	61752.0	2011.0	1.0000030146178822	331717.0	245483.0	86235.0		A	CO2							2006 IPCC Guidelines for National Greenhouse Gas Inventories				16.0	553.0	108.0	0.0311275785	0.036136885099999995	0.036136885099999995	1	0	0.0		(39.236669, -8.685994)				
16	Vancouver	City of Vancouver	Canada	North America	Administrative boundary of a local government	2016.0	2014.0	603500.0	2011.0	1.0000004093994848	2442602.0	2389748.0	52855.0		A	CO2; CH4; N2O	1200707.071159	1650754.335574	1425730.7033664999	1147853.071159	1597900.335574	1372876.7033664999	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	The City has compiled a GPC-compliant inventory for 2014 as a Compact of Mayors signatory.	Decreased	Community LDV emissions have decreased with declining fuel sales within the city. Also, continued increase in landfill gas capture efficiency, coupled with a decrease in overall electricity grid GHG intensity, reduced overall GHG emissions.	11.0	115.0	45.0	0.046860437000000005	0.1017275144	0.0734936045	151500000000	77960000000	0.51		(49.261226, -123.1139268)	83600000000.0	CAD     Canadian Dollar	2015.0	Conference Board of Canada (forecast); Vancouver Economic Commission
17	Guaratinguetá	Estância Turística de Guaratinguetá	Brazil	Latin America & Caribbean	Administrative boundary of a local government	2016.0	2015.0		2015.0	1.000000036483303	548195.98	497634.0	50562.0		A	CO2; CH4; N2O							2006 IPCC Guidelines for National Greenhouse Gas Inventories		This is our first year of calculation		24.0	751.0	540.0	0.0151203426	0.0204194776	0.0167788505	17030000000	11700000000	0.69		(-22.808027, -45.19422)	825170000.0	BRL     Brazilian Real	2012.0	Seade
18	Yilan	Yilan County	Taiwan	East Asia	Administrative boundary of a local government	2016.0	2013.0	458777.0	2014.0	1.0000000012224106	8180556.68	6911264.55	1269292.14		A	CO2; CH4; N2O; HFCs; PFCs; SF6; NF3	7988838.225323605	8014571.767352661	8001704.996338133	6719546.095323605	6745279.637352661	6732412.866338134	2006 IPCC Guidelines for National Greenhouse Gas Inventories		Stayed the same		22.3	2143.0	20.0	0.0129213814	0.0149246533	0.0149246533	1	0	0.0		(24.702107, 121.73775)				
19	Philadelphia	City of Philadelphia	USA	North America	Administrative boundary of a local government	2016.0	2012.0	1560297.0	2014.0	1.0000000000000002	19212870.06	12397594.06	6815276.0		A	CO2; CH4; N2O; HFCs; PFCs; SF6	17654739.586058717	18439631.354612183	18047185.47033545	10839463.586058717	11624355.354612183	11231909.47033545	International Emissions Analysis Protocol (ICLEI)	In general the ICLEI protocol was followed, however in some cases data was not available in the same fashion or format as described in the protocol. Electricity, natural gas and steam usage was provided by the local utilities. Data related to onsite combustion of fuels was derived using the American Communities Surveys and allocated to Philadelphia based on population. Emissions from transportation was derived using the local regional planning commission's transportation model and EPA MOVES. EPA's non road emissions model was used for off road vehicles Industrial emissions were estimated by looking at EPAs GHG reporting project data and comparing it to previously known information from utilities. Waste data was modeled using MSW and private collection data along with local landfill and incinerator emissions based on total waste. This was counted as a scope 3 emissions because none of these facilities are within the City of Philadelphia	Decreased	See www.phila.gov/green for 2012 Citywide Inventory Report (published Spring 2015) which discusses in-depth trends for the City's carbon emissions.	13.3	367.0	12.0	0.017698981699999998	0.036729479100000004	0.0356646952	766200000000	42870000000	0.06		(39.952335, -75.163789)	364000000000.0	USD     US Dollar	2012.0	Bureau of Economic Analysis
20	Palmas	Prefeitura de Palmas	Brazil	Latin America & Caribbean	A metropolitan area	2016.0	2013.0	272726.0	2015.0	1.0000000000000002	625391.59	589055.31	36336.28		A	CO2; CH4; N2O; HFCs	497262.78411903593	509927.6944340272	503595.23927653156	460926.504119036	473591.4144340273	467258.95927653165	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	O diagnóstico qualitativo das informações complementa a avaliação quantitativa.	This is our first year of calculation					0.0151203426	0.0204194776	0.0167788505	17030000000	11700000000	0.69		(-10.249091, -48.324286)	899887.0	BRL     Brazilian Real	2016.0	
21	Udine	Comune di Udine	Italy	Europe	Administrative boundary of a local government	2016.0	2013.0	99528.0	2013.0	1.0	613588.0	438005.0	175583.0		A	CO2							Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		Stayed the same	respect to the baseline of 2006 the GHG emissions decreased of 4% in 2013	13.0	56.0	113.0	0.011383130900000002	0.0151458624	0.0151130591	7800000000	68000000	0.01		(46.0667, 13.2333)				
22	Arlington, VA	City of Arlington, VA	USA	North America	Administrative boundary of a local government	2016.0	2015.0	216700.0	2015.0	1.0	2480700.0	1257464.0	1223236.0		A	CO2; CH4; N2O	2264300.89540448	2373309.65863708	2318805.27702078	1041064.8954044799	1150073.65863708	1095569.27702078	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	Transportation, fuel oil use, and solid waste emissions data are the most recent available, from a 2012 inventory. Electricity and natural gas consumption in the community reflect actual 2015 data based on utility reporting.	Decreased	Total emissions have decreased since the 2014 accounting. Electricity emissions increased slightly over this time, while natural gas use fell.  We are exploring whether this shift is due to the weather, or perhaps also a fuel shift  from gas to electric heat pumps in large residential buildings (as with retrofits from central systems to individually-metered units).	14.5	67.0	83.0	0.017698981699999998	0.036729479100000004	0.0356646952	766200000000	42870000000	0.06		(37.226486, -76.002594)	18871919000.0	USD     US Dollar	2014.0	US Dept of Commerce Bureau of Economic Analysis
23	Dallas	City of Dallas	USA	North America	Administrative boundary of a local government	2016.0	2010.0	1257676.0	2013.0	1.0	17229388.0	119881.0	17109507.0		A	CO2; CH4; N2O	15973458.326390054	16606119.633761182	16289788.980075618	-1136048.6736099457	-503387.3662388176	-819718.0199243816	Other	Methodology included a combination of Environmental Protection Agency (EPA) reported emission factors and EPA recommended emission modeling tools.	Decreased	Increased use of renewable sources of electricity and on-site energy production.	19.4	999.0	148.0	0.017698981699999998	0.036729479100000004	0.0356646952	766200000000	42870000000	0.06		(32.7801399, -96.8004511)	98746000000.0	USD     US Dollar	2013.0	City of Dallas Economic Development
24	Flagstaff	City of Flagstaff	USA	North America	Administrative boundary of a local government	2016.0	2014.0	68667.0	2013.0	1.0	1211617.47	621293.07	590324.4		A	CO2							Other	Formulas taken from The Climate Registry: Pacificorp Data ('07 Generation)	Stayed the same	City is growing at very slow rate, so emissions have not changed considerably over past three years of measuring.	6.5	165.0	2134.0	0.017698981699999998	0.036729479100000004	0.0356646952	766200000000	42870000000	0.06		(35.1992, -111.6311)	4801000000.0	USD     US Dollar	2010.0	U.S. Department of Commerce
25	London	Greater London Authority	United Kingdom	Europe	Administrative boundary of a local government	2016.0	2013.0	8600000.0	2015.0	1.0	40190000.0	20620000.0	19570000.0		A	CO2; CH4; N2O	34408290.93624	35822789.02544	35115539.98084	14838290.93624	16252789.02544	15545539.980840001	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	London's inventory is in line with the GPC, but in 2013 does not fully break down emissions according to GPC requirements. Stationary - Published central government datasets used for energy consumption and CO2 emissions from homes (residential buildings) and workplaces (commercial, industrial and government buildings and facilities). Mobile - The London Atmospheric Emissions Inventory (in-house model) is used to calculate distances travelled from transport of people and goods by  road, railways, water-borne navigation, aviation, and off-road surface transport. National emissions factors are applied.	Increased	London's absolute CO2 emissions decreased slightly in 2013 on 2012 levels. As London reports its CO2 emissions as non weather-corrected, the decrease in 2013 may be partially due to a milder winter in 2013 compared to 2012, and therefore a higher number of heating degree days in 2012 compared to 2013. The use of coal in electricity generation also decreased at the national level. London's emissions fell by 11% on 1990 levels, and, significantly, despite an unprecedented increase in London's population, London's per capita emissions remain the UK's lowest at 4.8 tonnes.	11.0	1572.0	35.0	0.0181362582	0.026046306800000002	0.0240104197	40990000000	10550000000	0.26		(51.504858, -0.078689)	491550000000.0	USD     US Dollar	2014.0	An indicative value for London's GDP has been estimated from 2014 per capita data ($57,157) published by Brookings (http://www.brookings.edu/research/reports2/2015/01/22-global-metro-monitor)
26	Columbus	City of Columbus	USA	North America	Administrative boundary of a local government	2016.0	2015.0	835957.0	2014.0	1.0	10983600.0	5487400.0	5496200.0		A	CO2; CH4; N2O	10148803.755051421	10569323.545940368	10359063.650495894	4652603.755051421	5073123.545940367	4862863.650495894	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	Basic Reporting.	Decreased	Greenhouse gas emissions increased 5% since our baseline emission inventory of 2013, but decreased since the 2014 inventory by 4%.	11.6	563.0	275.0	0.017698981699999998	0.036729479100000004	0.0356646952	766200000000	42870000000	0.06		(39.9611755, -82.9987942)	108089000000.0	USD     US Dollar	2014.0	https://development.ohio.gov/files/research/E1001.pdf
27	Taipei City	Taipei City Government	Taiwan	East Asia	Administrative boundary of a local government	2016.0	2014.0	2704810.0	2015.0	1.0	14957404.0	6493593.0	8463811.0		A	CO2; CH4; N2O	13827090.158213556	13978807.314513048	13902948.736363303	5363279.158213556	5514996.314513048	5439137.736363302	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	Taipei city using GPC methodology to make City GHG inventory since 2014.	Increased	The greenhouse gas emissions of Taipei City in 2014 were 14,546,000 metric tons. The greenhouse gas emissions of the City present a rising tendency in 1998-2008. The increasing tendency slowed down and began to decline since the 2008. Due to the operation commencement of Mass Rapid Transit (MRT) Xinyi Line and Songshan Line and because the global average temperature in 2014 was 0.69℃ higher than that of previous years, the electricity consumption increased slightly by 0.52% compared to that in 2013. Thus the overall greenhouse gas emissions in 2014 increased compared to that in 2013	23.0	272.0	60.0	0.0129213814	0.0149246533	0.0149246533	1	0	0.0		(25.037525, 121.563782)				
28	Alton, IL	City of Alton, IL	USA	North America	Administrative boundary of a local government	2016.0	2013.0	26581.0	2015.0	1.0	401079.0	138542.0	262537.0		A	CO2; CH4; N2O	374534.9086328864	387906.2142881044	381220.5614604954	111997.90863288639	125369.2142881044	118683.5614604954	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		This is our first year of calculation		13.7	43.0	132.0	0.017698981699999998	0.036729479100000004	0.0356646952	766200000000	42870000000	0.06		(38.890604, -90.184276)		USD     US Dollar	2015.0	
29	New Taipei	New Taipei City Government	Taiwan	East Asia	Administrative boundary of a local government	2016.0	2014.0	3966818.0	2014.0	1.0	17233924.0	6149934.0	11083990.0		A	CO2; CH4; N2O; HFCs; PFCs; SF6	15576229.266082417	15798734.486973215	15687481.876527816	4492239.266082417	4714744.486973215	4603491.876527816	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	GHG Protocol is working to give cities the standards and tools they need to measure their emissions, build more effective emissions reduction strategies, set measurable and more ambitious emission reduction goals, and to track their progress more accurately and comprehensively.	Increased	Population growing and new regulation on emissions reporting for high carbon-density industries.	21.0	2053.0	10.0	0.0129213814	0.0149246533	0.0149246533	1	0	0.0		(25.0111, 121.4458)	530043000000.0	USD     US Dollar	2014.0	Gross Domestic Product by Expenditures, National Statistics, R.O.C (Taiwan) (2016)
30	Kaohsiung	Kaohsiung City Government	Taiwan	East Asia	Administrative boundary of a local government	2016.0	2014.0	2778729.0	2015.0	1.0	58755764.13	43502687.67	15253076.46		A	CO2; CH4; N2O; HFCs; PFCs; SF6	57594560.25568964	57750423.64794526	57672491.95181745	42341483.79568964	42497347.18794526	42419415.49181745	Other	GHG Inventory Accounting Guideline for Local City (EPA): Our country in order to assist local cities to handle emissions baseline, and make sure it follows the standard of MRV, so referring to related international GHG inventory guidelines for local cities, including IEAP published in 2009, to develop our city GHG inventory guideline.	Stayed the same	The city administrative area emissions is gentlely decreasing, and total emissions reduction range is 0.11%.	25.1	2947.0	50.0	0.0129213814	0.0149246533	0.0149246533	1	0	0.0		(22.629705, 120.343804)	524493000000.0	USD     US Dollar	2015.0	http://0rz.tw/mT92O
