Account number,Organization,City,Country,Region,C40,Access,Reporting year,Accounting year,Boundary,Protocol,Gases included,Total emissions (metric tonnes CO2e),Scopes Included ,Total Scope 1 Emissions (metric tonnes CO2e),Total Scope 2 Emissions (metric tonnes CO2e),Comment,Increase/Decrease from last year,Reason for increase/decrease in emissions,Population,Population year,City Location,Country Location
54119,City of Palo Alto,Palo Alto,USA,North America,,Public,2017,2016-01-01 - 2016-12-31,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),CO2; CH4; N2O,153948,Total Scope 1 and Scope 2,153948,,"High for utilities (data from municipally owned utility), lower for transportation (modeled by consultants). NOTE: This is combined City+Community data",Decreased,"Combined City Municipal Operations and Palo Alto community emissions continue to decline. In 2016, overall City and Palo Alto GHG emissions were reduced an estimated 37% from 1990 levels, just under an additional 2% beyond 2015 reductions. Estimated City and community transportation related emissions declined an additional 5% from 2015 reductions, due to both a decrease in Vehicle Miles Travelled and changes in fleet composition. Natural gas emissions increased slightly from 2015, by approximately 1%, due in part to a colder fall and winter in 2016 than in 2015, which was warmer than average. Palo Alto Landfill Fugitive Emissions and Wastewater Process Emissions decreased due to efficiency measures.",66478,2017,"(37.4419, -122.143)","(37.09024, -95.712891)"
19233,Torres Vedras Municipality,Torres Vedras ,Portugal,Europe,,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,International Emissions Analysis Protocol (ICLEI),CO2,275646,Total Scope 1 and Scope 2,,,,Decreased,"The city has done a emission inventory in 2009 and another in 2014, the results indicate that the emissions has decreased (the changes are due to emissions redution actions  foreseen in sustainable energy action plan and to the national economic crises).",79465,2011,"(38.763669, -9.30148)","(39.399872, -8.224454)"
50671,Fafe,Fafe,Portugal,Europe,,Public,2017,2013-01-01 - 2013-12-31,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,CO2,163838,Total Scope 1 and Scope 2,163412,426,The methodology used to calculate GHG emissions of Fafe municipality is based in the guidelines of Joint Research Centre of the European Commission for SEAP development and the calculations were are based on relevant socio-economic and energetic information provided by official statistics at municipal level. These results were already approved by Covenant of Mayors initiative.,Decreased,"The municipality of Fafe has been implementing its SEAP achieving very positive results, namely achieving reductions of energy consumptions. Changes in the electricity mix also contributed to the community emissions reduction, allowing to the achievement in 2013 of the commitments for 2020.",49351,2015,"(41.4508217, -8.1728619)","(39.399872, -8.224454)"
3417,New York City,New York City,USA,North America,C40,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",CO2; CH4; SF6; N2O,53306007,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",38962264,14343743,,Decreased,The most significant driver was a milder winter in 2015 versus 2014.,8537673,2016,"(40.7127837, -74.0059413)","(37.09024, -95.712891)"
59669,City of North Vancouver,North Vancouver,Canada,North America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,Other: ICLEI Partners for Climate Protection,CO2; CH4,187055,Total Scope 1 and Scope 2,182896,4159,"Emissions data comes from multiple sources and the City relies on other agencies, such as privately owned utility companies to provide consumption data. As a result, the City cannot comment on the accuracy of the data.",Other: 2015 data reported as 2016 data not available,"Comparisons are not possible at this time, as the next year's data (2016) are not yet available.  We are thus still reporting 2015 data as before (note that our emissions data submitted April 2016 - for the year 2010 - were updated for the Compact of Mayors module submitted in December 2016 - for the year 2015).  However, due to limitations associated with the data, year to year comparisons must be made with caution. In general, emissions over the past few years appear to be staying the same or potentially decreasing slightly despite population increases.  This is likely due to more efficient building construction, reduction in solid waste tonnages, increased recycling and organics diversion, and increased fuel efficiency standards.",52898,2016,"(49.32, -123.0724)","(56.130366, -106.346771)"
69967,Alcaldia de Tulua,Tulua,Colombia,Latin America,,Public,2017,2010-01-01 - 2010-12-31,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,CO2; CH4; N2O,208681,Total Scope 1 and Scope 2,,,Vale aclarar que estos datos pueden tener una incertidumbre de media a alta dado la naturaleza de los datos de actividad y los factores de emisión fueron seleccionados por defecto del IPCC.,,,209086,2017,"(4.08618, -76.19793)","(4.5709, -74.2973)"
58395,Bærum Kommune,Bærum,Norway,Europe,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,Other,CO2; CH4; N2O,227962,Total Scope 1 and Scope 2,,,"Statistics Norway is delivering GHG-statistics for Norwegian counties, including Bærum. They are  the main contributer to this inventory. For more information see www.ssb.no/en/klimagassn",Decreased,The total emissions has decreased due to phasing out fossile fuels for heating of buildings.,122660,2016,"(59.920545, 10.593765)","(60.472024, 8.468946)"
50672,Santarém,Santarém,Portugal,Europe,,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,CO2,245886,Total Scope 1 and Scope 2,,60896,The methodology used to calculate GHG emissions of Santarém municipality is based in the guidelines of Joint Research Centre of the European Commission for SEAP development and the calculations are based on relevant socio-economic and energetic information provided by official statistics at municipal level.These results were already approved by Covenant of Mayors initiative.,,,61752,2011,"(39.236669, -8.685994)","(39.399872, -8.224454)"
31163,Istanbul Metropolitan Municipality,Istanbul ,Turkey,Europe,C40,Public,2017,2015-01-01 - 2015-12-31,A metropolitan area,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,16173272,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",30915232,18065288,,Increased,"Compared to the last emissions inventory developed in 2010, it is seen that the highest increase is from stationary units. The increase in greenhouse gases emitted from the stationary units is due to the increase in electricity and natural gas consumption.Despite the reduction in consumption of LPG, gasoline and fuel in public transport vehicles, an increase of more than 50% in diesel consumption has led to an increase in on-road tranportation emissions.Along with the increase in the number of vehicles, it is considered that the amount of fuel consumed during the construction of the large infrastructural investments which have recently increased is also effective in this increase.Unlike the 2010 inventory, emissions from aviation and water-borne navigation are included in the inventory in 2015.",14804116,2016,"(41.0082, 28.9784)","(38.963745, 35.243322)"
50555,City of Hamilton,Hamilton,Canada,North America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,15465769,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",16831295,1622420,,Decreased,Total tonnes of CO2 equivalent has decreased from baseline year of 2006 by approximately 22% and decreased 7% from 2014 inventory year. This can be attributed to Province of Ontario phasing out coal for electricity generation and the unusually cold winters in 2013 and 2014.,550700,2015,"(43.250021, -79.866091)","(56.130366, -106.346771)"
58543,Byron Shire Council,Byron Shire,Australia,South Asia and Oceania,,Public,2017,2015-07-01 - 2016-06-30,Administrative boundary of a local government,Other,CO2; CH4,263199,Total Scope 1 and Scope 2,,,,This is our first year of calculation,,29209,2011,"(-28.6534, 153.5334)","(-25.274398, 133.775136)"
3422,Greater London Authority,London ,United Kingdom,Europe,C40,Public,2017,2014-01-01 - 2014-12-31,Other: Admistrative boundary of the Greater London Authority,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,12367000,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",19430000,18400000,,Decreased,"London's CO2 emissions decreased between 2013 and 2014. As of 2014 they are 16% lower than 1990 levels and expected to reach a 20% reduction in the 2015 GHG assessment (currently being finalised for publication later in 2017). This decline is due to decarbonisation of the national electricity grid, with a reduction in coal use and an increase in renewables share of the national energy mix. Gas usage has also decreased, due to energy efficiency improvements in homes and workplaces (including the roll-out of more efficient gas fired boilers) and a reduction in industrial activity within London. London's population continues to increase year on year and as of 2014 London's per capita emissions remain the UK's lowest at 4.4 tonnes.",8600000,2015,"(51.504858, -0.078689)","(55.378051, -3.435973)"
31111,Tokyo Metropolitan Government,Tokyo,Japan,East Asia,C40,Public,2017,2013-04-01 - 2014-03-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,12173468,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",33363185,43602201,,This is our first year of calculation,,13646764,2017,"(35.6896342, 139.6921007)","(36.204824, 138.252924)"
58671,Elsinore Municipality,Elsinore,Denmark,Europe,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,CO2; CH4; N2O,294549,Total Scope 1 and Scope 2,,,The CO2 mapping was conducted externally by a consultancy.,Decreased,"- The overall heat consumption has decreased and many households and buildings have converted their heat source from oil to alternatives, e.g. district heating - The overall electricity consumption has decreased a little as well, but the main reason for the decrease in the emissions from electricity consumption is the lower emission factor. Renewable energy production has and continued to expand in the danish electricity grid and as a result of that, the emissions from energy consumption decreases.",61632,2015,"(56.0308, 12.5921)","(56.2639, 9.5018)"
64014,City of Cupertino,Cupertino,USA,North America,,Public,2017,2010-01-01 - 2010-12-31,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),CO2; CH4; N2O,296048,Total Scope 1 and Scope 2,210597,85451,"Inventory includes a mix of primary and secondary sources as well as estimates based on models or scaling. See Cupertino Climate Action Plan, Chapter 2, pages 33-62 for Community and LGO inventories.",This is our first year of calculation,,60572,2015,"(37.322998, -122.032182)","(37.09024, -95.712891)"
3203,City of Chicago,Chicago,USA,North America,C40,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",CO2; CH4; N2O,29918694,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",16951471,12967223,,Decreased,"Chicago conducted a preliminary comparison using the existing 2010 and 2015 data to evaluate how community emissions have changed over the last five years. Results of this preliminary analysis of 2010 and 2015 GHG emissions reveals Chicago continued to reduce total GHG emissions through 2015 in the stationary and waste sectors resulting in a greater than 7 percent reduction in GHG emissions over the last five years. During that time, Chicago’s population grew by approximately 1 percent while the region’s GRP grew by more than 12 percent. Growth coupled with reduction in total emissions resulted in a greater than 8 percent decrease in per capita emissions in the City. Between 2010 and 2015, the majority of MT CO2e reductions occurred in the stationary energy sector, followed by waste. When considering percent reductions, the waste sector experienced the greatest reduction (30 percent) which included a 35 percent emissions reduction in the solid waste disposal sub-sector. This reduction in the solid waste sector is likely driven by a decrease in the total amount of solid waste sent to landfills and an improvement in the solid waste treatment technologies at those landfills. The City expanded its residential curbside recycling pilot program to now serve over 400,000, or approximately 33 percent, of additional City houeholds.Because of the program’s expansion the City experienced a significant increase in the number of tons collected for recycling, from 58,000 in 2010 to 97,000 in 2015. The stationary energy sector overall saw a 10 percent drop in emissions, including 11, 12 and 8 percent emissions reductions in the residential, commercial and institutional buildings and facilities, and manufacturing industries and construction sub-sectors, respectively. Stationary energy sector GHG emissions reductions are likely driven by a general trend in the building industry to improve energy efficiency of buildings as well as a regional shift in energy generation towards renewable energy sources. The City has also implemented the Energy Benchmarking Ordinance, Retrofit Chicago, and the Chicago Solar Express to encourage increasing energy efficiency and renewable energy generation and consumption within the city.",2720546,2015,"(41.8781136, -87.6297982)","(37.09024, -95.712891)"
53254,Hobart City Council,Hobart,Australia,South Asia and Oceania,,Public,2017,2014-07-01 - 2015-06-30,Administrative boundary of a local government,Other,CO2,338925,Total Scope 1 and Scope 2,189535,149390,Medium to High - the results align with previous CCP ICLEI reporting. The methodology is being piloted by the City of Hobart and is being tested with a range of different councils energy use profiles,Decreased,"• Over the last five years energy use has declined by 8%. This is consistent with other studies which find that the Tasmanian economy becoming less energy intensive over time . • There has been less electricity use per residential household in recent years. Commonwealth energy efficiency programs (such as appliance labelling), energy price increases and increased consumer awareness have helped to keep electricity use down. • Commercial energy use has decreased by 5%, mainly due reduced electricity use per business • As a result, greenhouse gas emissions have reduced by 8% since 2010-11.",50655,2016,"(-42.890054, 147.281446)","(-25.274398, 133.775136)"
31117,City of Toronto,Toronto,Canada,North America,C40,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,8432994,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",8804364,1293287,,Other:,Changed to the GPC Reporting Tool Method,2753100,2011,"(43.653226, -79.3831843)","(56.130366, -106.346771)"
31181,City of Philadelphia,Philadelphia,USA,North America,C40,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,8221648,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",13245864,5578123,,Decreased,"See www.phila.gov/green for Greenworks: A Vision for a Sustainable Philadelphia, which describes progress on carbon reductions to date. Philadelphia will be releasing a citywide energy vision document later in 2017 with more details on the expected trajectory of emissions in the city and strategies for meeting our 80 by 50 commitment.",1555072,2015,"(39.952335, -75.163789)","(37.09024, -95.712891)"
10894,City of Los Angeles,Los Angeles,USA,North America,C40,Public,2017,2013-01-01 - 2013-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,29442557,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",19936349,9506208,,Decreased,"Two primary reasons for the slight reduction are reduction in GHG intensity of electricity system and increased fuel economy of light duty vehicles. From 1990, the decline of manufacturing withing LA city limits also contributed to the decline.",4030904,2016,"(34.0522342, -118.2436849)","(37.09024, -95.712891)"
58621,Town of Blacksburg,Blacksburg,USA,North America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),CO2; CH4; N2O,347483.42,Total Scope 1 and Scope 2,124461.79,223021.63,Electricity and Natural Gas consumption are measured values however transportation figures are based on Virginia DOT's Vehicle Miles Traveled studies and estimates which may not be entirely accurate.,Decreased,"The last GHG inventory performed for the Town of Blacksburg was in 2012. Over those three years decreased emissions from electric utility provider's fuel mix has resulted in decreased emissions in the residential, commercial, industrial and public sectors. Considering the population increase it is likely that the culture of electricity use may have also lead to decreased consumption. Transportation emissions have increased by 1.39% which is likely due to the 3.29% increase in population. Wastewater emissions are significantly lower because of errors made in the previous emission calculations. Emissions from solid waste have also decreased roughly 4.4%.",44215,2015,"(37.2296, -80.4139)","(37.09024, -95.712891)"
59552,"City of Davis, CA","Davis, CA",USA,North America,,Public,2017,2009-01-01 - 2010-01-01,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),CO2; CH4; N2O; HFCs,348437,Total Scope 1 and Scope 2,348437,,,Decreased,Lower carbon emission electricity energy mix (grid).,65600,2010,"(38.544907, -121.740517)","(37.09024, -95.712891)"
62864,"City of Lancaster, PA","Lancaster, PA",USA,North America,,Public,2017,2016-01-01 - 2016-12-31,Administrative boundary of a local government,International Emissions Analysis Protocol (ICLEI),CO2; CH4; N2O,578625,Total Scope 1 and Scope 2,364183,214442,"This inventory is only about 75% complete, and the data that is included needs to be vetted still. The transportation data is especially lacking and major stationary sources (other than natural gas) have not been included yet.",Other:,"All GHG calculations are form 2015 data except the transportation emissions, which are 2014. We are still using 2015 data for this reporting.",60000,2016,"(40.037875, -76.305514)","(37.09024, -95.712891)"
52897,City of Aspen and Pitkin County,Aspen and Pitkin County,USA,North America,,Public,2017,2014-01-14 - 2014-12-31,A metropolitan area,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),CO2; CH4; N2O,394341,Total Scope 1 and Scope 2,341208,136413,Performed inventory in house,Decreased,Aggregate emissions: -7.4% between 2004 and 2014. Res. Energy: +5%; Comm. Energy: -26%; Vehicles: - 13%; Airport: +15%; Waste:=2%,8427,2010,"(39.195, -106.837)","(37.09024, -95.712891)"
55324,Município de Guimarães,Guimarães,Portugal,Europe,,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,CO2,401323,Total Scope 1 and Scope 2,277921,123402,The methodology used to calculate GHG emissions of Guimarães municipality is based in the guidelines of Joint Research Centre of the European Commission for SEAP development and the calculations were are based on relevant socio-economic and energetic information provided by official statistics at municipal level.This results were already approved by Covenant of Mayors initiative.,Decreased,"The municipality of Guimarães has been implementing its SEAP achieving very positive results, namely achieving reductions of energy consumptions in municipal and residential buildings as well as industry, transports and agricultural sectors. Changes in the electricity mix also contributed to the community emissions reduction, allowing to the achievement in 2014 of the commitments for 2020.",154920,2015,"(41.444266, -8.292241)","(39.399872, -8.224454)"
57616,"City of Lake Forest, IL","Lake Forest, IL",USA,North America,,Public,2017,2007-01-01 - 2007-12-31,A metropolitan area,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),CO2; CH4; N2O,402364,Total Scope 1 and Scope 2,,,,This is our first year of calculation,,19375,2010,"(42.258634, -87.840625)","(37.09024, -95.712891)"
35898,Greater Manchester,Manchester,United Kingdom,Europe,,Public,2017,2014-01-01 - 2014-12-31,A metropolitan area,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,17325654,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",10630853,6694801,,Decreased,"Emissions decreased from is 18.1 to 17.9 million tonnes between 2013 and 2014. This represents a change from our GHG emissions tonnage figure reported to CDP in 2015 and a slight decrease in the first 2013 Global GHC protocol compliant Baseline Emissions inventory.  Repeating the reasons for the change - between emissions reported in 2015 submission and now (due to move to a compliant BEI process), this is due to inclusion of scope 3 emissions included in the Basic/Basic+ element of the inventory which GM commissioned which is now compliant with the Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI).  Previous submissions to CDP only included scope 1 and 2 emissions which drew directly from the national government DECC Local and Regional CO2 Emissions Estimates for 2005-2012 which used similar but not identical methodologies. This is part of a longer trend of decreasing emissions, punctuated with occasional increase years. Primary factors which determine the performance are the use of coal in any one year for grid electricity generation, and weather conditions during spring and autumn, where an extended heating season can occur if these are cold. A decline in total energy consumption is the most significant long term trend factor, due to the uptake of more energy efficient appliances, home adaptations, goods, services and transport",2762000,2014,"(53.4575955, -2.1578377)","(55.378051, -3.435973)"
2430,City of Burlington,Burlington,USA,North America,,Public,2017,2010-01-01 - 2010-12-31,Administrative boundary of a local government,International Emissions Analysis Protocol (ICLEI),CO2,405385.3,Total Scope 1 and Scope 2,405382,37305,This number is the total amount of emissions provided in our GHG emissions inventory and modeling workbook.,Decreased,"Burlington continues to ""green"" its energy mix. With cleaner sources of energy supplying electricity to the grid, fewer emissions are being released.",42284,2015,"(44.4758825, -73.212072)","(37.09024, -95.712891)"
58610,Municipality of Hjørring,Hjørring,Denmark,Europe,,Public,2017,2014-01-01 - 2014-12-31,Other: Energy plan for Hjoerring Municipality,Other: Not determined.,CO2,417000,Total Scope 1 and Scope 2,289000,128000,,Decreased,"Collective supply: decrease in fuel consumption, especially from fossil fuels. Electricity production has decreased substantially. Industry: Large decrease in fuel consumption, especially from fossil fuels.",65308,2016,"(57.4568, 9.9958)","(56.26392, 9.501785)"
31176,Prefeitura do Rio de Janeiro,Rio de Janeiro,Brazil,Latin America,C40,Public,2017,2012-01-01 - 2012-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,21422743,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",17326232,4096511,,Increased,"The numbers presented here are from the same inventory reported to CDP last year. However, since it was submitted to external verification and the numbers were reviewed according to the recommendations of the verifier there was just a slight increase due to this review. In comparison to the last Inventory made for the city, which has 2005 as the base year, there was a significant increase in emissions (around 75%) mainly due to the start of operations in 2010 of a new steel mill plant inside the city border, TKCSA.",6498837,2016,"(-22.9054389, -43.5614471)","(-14.235004, -51.92528)"
35894,Ville de Montreal,Montreal,Canada,North America,C40,Public,2017,2013-01-01 - 2013-12-31,A metropolitan area,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,5026506,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",10729801,61912,,Decreased,"Agglomeration-wide GHG emissions were 25% lower in 2013 compared to 1990, the baseline year. This is due to a combination of factors including : - Decreased consumption of fuel oil of all sectors stationary energy - Closure of one oil refinery. - Increased efficiency of collecting biogas from landfills. Also, GHG emissions were 21 % lower in 2013 compared to 2009, the previous inventory, without factoring in methodological changes applied in 2013.",1959987,2013,"(45.5086699, -73.5539925)","(56.130366, -106.346771)"
50680,Cascais,Cascais,Portugal,Europe,,Public,2017,2010-01-01 - 2010-12-31,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,CO2,565382,Total Scope 1 and Scope 2,565382,266221,http://www.cm-cascais.pt/projeto/matriz-energetica-de-cascais,Decreased,We have verified a decrease in fuel consumption between the mentioned time period.,208122,2014,"(38.6970565, -9.4222945)","(39.399872, -8.224454)"
58357,City of West Hollywood,West Hollywood,USA,North America,,Public,2017,2008-01-01 - 2008-12-31,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),CO2,583213,Total Scope 1 and Scope 2,,,,Stayed the same,We have not conducted a GHG inventory since 2008 but the City received a Strategic Growth Council grant to create a GHG inventory tool this year 2017. We plan to conduct another inventory as soon as possible.,34399,2010,"(34.09, -118.3617)","(37.09024, -95.712891)"
59163,City of Tirana,Tirana,Albania,Europe,,Public,2017,2011-01-01 - 2011-12-31,Administrative boundary of a local government,Other: COPERT IV computer programme within the EMEP/CORINAR methodology,CO2,610773,Total Scope 1 and Scope 2,,457173,"The inventory is also found on the Sustainable Energy Action Plan of the City of Tirana (SEAP). The total emission figure is generated on the data listed below:1. The total registered number of private and commercial vehicles in the city of Tirana in 2011, divided by type of fuel consumption2. The total area of residential and commercial buildings, in 20113. The electricity consumption data for both residential and commercial buildings in 2011, data obtained from CEZ Albania",,,780531,2016,"(41.327546, 19.818698)","(41.153332, 20.168331)"
